ori_tissue,ori_cell_type
heart,cardiomyocyte (cm)
heart,cardiomyocyte (cm)
heart,cardiomyocyte (cm)
heart,cardiomyocyte (cm)
heart,cardiomyocyte (cm)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
esophagus,treg (t regulatory) cell
esophagus,effector th2 cell
esophagus,effector th2 cell
esophagus,effector th2 cell
esophagus,effector th2 cell
esophagus,effector th2 cell
eoe tissue,t lymphocyte
eoe tissue,cd3+ t cell
eoe tissue,cd3+ t cell
eoe tissue,cd3+ t cell
eoe tissue,tissue lymphocyte
eoe tissue,tissue lymphocyte
eoe tissue,th2 cell
eoe tissue,th2 cell
eoe tissue,th2 cell
eoe tissue,t lymphocyte
esophageal tissue,th1 cell
esophageal tissue,th2 cell
esophageal tissue,th2 cell
esophageal tissue,th2 cell
esophageal tissue,th1 cell
esophageal tissue,th2 cell
esophageal tissue,th2 cell
esophageal tissue,th2 cell
eoe tissue,t cells (il5 producers)
eoe tissue,t cells (ffar3+)
blood,cd4+ t cells
liver metastasis (liv.mets),spp1+ tams
liver metastasis (liv.mets),spp1+ tams
liver metastasis (liv.mets),spp1+ tams
liver metastasis (liv.mets),c1qc+ tams
liver metastasis (liv.mets),c1qc+ tams
liver metastasis (liv.mets),c1qc+ tams
liver metastasis (liv.mets),mki67+ tams
tumor microenvironment,tams (c1qc+)
tumor microenvironment,tams (spp1+)
tumor microenvironment,cdc2s (c1qc+)
liver,nk cells (liver-resident)
tumor,spp1+ tam
tumor,spp1+ tam
tumor,dc3
tumor,dc3
tumor,dc3
