names,scores,logfoldchanges,pvals,pvals_adj
IL33,10.291693,26.376465,7.681374822309705e-25,1.788172391753577e-20
GNG11,10.280764,20.3348,8.60430303274696e-25,1.788172391753577e-20
PTPRB,10.2698345,20.203028,9.636981522983375e-25,1.788172391753577e-20
FLT1,10.247456,18.040556,1.214997378463446e-24,1.788172391753577e-20
EGFL7,10.156379,14.547149,3.1039169426415903e-24,3.654551808266209e-20
APP,9.9919195,11.885697,1.6534791189813035e-23,1.6223385955738224e-19
SPARC,9.94456,12.591241,2.663490408508576e-23,2.2399954335557125e-19
COL4A1,9.809245,21.122122,1.0273382733342067e-22,6.754677951196254e-19
TIMP3,9.808725,33.291206,1.032649933085889e-22,6.754677951196254e-19
HSPG2,9.721292,10.532958,2.4465912305262583e-22,1.4403082574108083e-18
LDB2,9.703075,20.180182,2.925439136176049e-22,1.5656418358789453e-18
EFNB2,9.550067,33.70619,1.2961298152844247e-21,6.358596852149507e-18
ADGRF5,9.479287,20.628841,2.560269760141513e-21,1.159408313688699e-17
FCN3,9.390291,77.303856,5.983436696908751e-21,2.5160351310501296e-17
IGFBP7,9.360626,11.242473,7.926523477009775e-21,3.110896247277103e-17
TM4SF1,9.30546,26.512278,1.334136228300093e-20,4.908787485001655e-17
ENG,9.28256,35.521454,1.6545360968487525e-20,5.4377547368757507e-17
ADGRL4,9.282041,15.431998,1.662639464307177e-20,5.4377547368757507e-17
NOTCH4,9.214904,8.871459,3.115585162431377e-20,9.653394658543955e-17
F8,9.167543,24.522417,4.8392065588930985e-20,1.4244204506101837e-16
F2R,9.113418,14.98824,7.982674123636282e-20,2.2378096459927043e-16
TGFBR3,9.087396,14.749086,1.0143958142343095e-19,2.714430981089718e-16
A2M,9.061894,17.195454,1.2820448719984546e-19,3.2814774615021317e-16
RAMP3,9.035872,17.655367,1.6269964238010708e-19,3.9908866445487097e-16
INSR,9.017137,12.0671,1.9306991820062448e-19,4.546410433788305e-16
CALCRL,9.0098505,13.031869,2.0633801693369864e-19,4.671968868033399e-16
DNASE1L3,8.960408,56.798527,3.2347776271302103e-19,7.053013292931685e-16
CRHBP,8.894834,53.08864,5.850715332481238e-19,1.2301128986541803e-15
TINAGL1,8.844871,8.076286,9.163417778684595e-19,1.860173809072973e-15
PDLIM1,8.808961,10.006001,1.2631158894966068e-18,2.4786544138221744e-15
CLDN5,8.773571,13.244455,1.7308820109018248e-18,3.1309169519751473e-15
CD59,8.77305,-2.709511,1.738903879768025e-18,3.1309169519751473e-15
PLPP3,8.772009,16.183363,1.755057914305756e-18,3.1309169519751473e-15
IL6ST,8.742344,28.337877,2.2832239132218454e-18,3.953335052099119e-15
MEG3,8.738181,27.178074,2.368941677524624e-18,3.984559901596418e-15
LIFR,8.670524,17.913612,4.301375945870183e-18,7.03394449814938e-15
TGFBR2,8.65387,18.425737,4.978209289493774e-18,7.920734618175636e-15
ID1,8.481604,29.419676,2.221102564118049e-17,3.4409554723586723e-14
RDX,8.463388,18.747898,2.5971828753299932e-17,3.920414253094274e-14
ETS1,8.401457,1.3537161,4.409749796292059e-17,6.490049262692838e-14
CDH5,8.3483715,21.307938,6.921056439197607e-17,9.937624209160076e-14
ID3,8.253131,12.016136,1.5429763502151521e-16,2.1627385175515715e-13
ARGLU1,8.2427225,22.707727,1.683359588914087e-16,2.304636720915635e-13
KDR,8.199526,16.986721,2.4133708806316723e-16,3.228980539608785e-13
NPDC1,8.163095,11.266459,3.2654735166494255e-16,4.271965020558926e-13
RAPGEF5,8.132389,1.7697763,4.2091118047490374e-16,5.386748085773388e-13
HES1,8.051721,26.679312,8.163785794444675e-16,1.0225575951467192e-12
AKAP12,8.031424,46.215687,9.634788580100582e-16,1.1816666743969193e-12
PCAT19,8.025179,15.622274,1.0137838017250031e-15,1.2179888246438966e-12
TM4SF18,8.022056,16.529226,1.039897814276576e-15,1.2243756865292408e-12
IFI27,7.9741755,11.779177,1.5340146298607471e-15,1.7328709676877812e-12
EPAS1,7.9726143,17.291576,1.5535262425614624e-15,1.7328709676877812e-12
PCDH17,7.9720936,22.850803,1.5600842753091965e-15,1.7328709676877812e-12
PPFIBP1,7.8737307,10.52466,3.442196480919084e-15,3.7526316079945646e-12
CAVIN2,7.8274117,8.454606,4.9801694304614094e-15,5.3305922612956936e-12
C11orf96,7.787858,12.422613,6.815466225043353e-15,7.164758869076825e-12
BTNL9,7.743621,14.8075695,9.66249502731212e-15,9.979492671190605e-12
HSPA1A,7.726967,15.772044,1.1013947256902662e-14,1.1170777198268552e-11
FAM167B,7.724885,11.458511,1.1195445128212072e-14,1.1170777198268552e-11
HECW2,7.6629524,10.367565,1.8170642913921017e-14,1.7828429139042168e-11
TCF4,7.6296444,23.664885,2.3540201391348813e-14,2.2718223867355814e-11
ELK3,7.6057043,19.480295,2.8335662802807768e-14,2.6905168858085376e-11
CLEC14A,7.5359654,12.268402,4.8473535599328864e-14,4.529582604337286e-11
MARCKSL1,7.5281587,9.911845,5.146080810360998e-14,4.698056481931893e-11
ADAMTS1,7.5271177,7.6393886,5.187254481494362e-14,4.698056481931893e-11
STOM,7.495371,17.770681,6.611107418588551e-14,5.896907480792545e-11
NR2F2,7.4875646,5.810609,7.016341205854308e-14,6.098419990977976e-11
ITPRIP,7.487044,25.748993,7.044208584788557e-14,6.098419990977976e-11
DLC1,7.4755945,4.6004777,7.68556984425613e-14,6.557239083063165e-11
MMRN2,7.47039,8.028098,7.995751993917129e-14,6.724427426884306e-11
SEC14L1,7.4438477,11.99799,9.779436829626599e-14,8.108668255776308e-11
SEMA6A,7.4178257,7.5300903,1.1905877637462138e-13,9.734708562741612e-11
PRSS23,7.388681,11.145861,1.4829254001743152e-13,1.1958879220309853e-10
KLF2,7.382436,8.382742,1.5541965375650795e-13,1.2247200948740964e-10
MEIS2,7.381915,3.9757028,1.5602854954230885e-13,1.2247200948740964e-10
COL4A2,7.360057,22.464191,1.838320583214973e-13,1.4220134166292653e-10
CCDC85B,7.358495,5.4722133,1.8599462048658645e-13,1.4220134166292653e-10
SOCS3,7.352771,21.853193,1.9413997351164483e-13,1.4652590052090424e-10
HSPA1B,7.346525,5.94594,2.0342570117951764e-13,1.51590772511876e-10
RAMP2,7.2830315,10.530198,3.264005130711051e-13,2.4018997755619946e-10
CNN3,7.271582,8.645143,3.5530153721743223e-13,2.582296480986449e-10
OIT3,7.26898,50.33451,3.622124969852634e-13,2.6004206948198117e-10
CRIP2,7.259612,-9.430643,3.8820250492368034e-13,2.753431501790007e-10
TGM2,7.2091293,-29.072836,5.631078604710417e-13,3.946447588801217e-10
CAVIN1,7.134186,8.750907,9.736162459338318e-13,6.743151576249963e-10
ARHGAP29,7.1060824,35.46402,1.193833029380021e-12,8.172203539488586e-10
RNASE1,7.0769377,13.536368,1.4737483987024539e-12,9.972364164553271e-10
DUSP5,7.0327,4.8868065,2.0257426741376433e-12,1.355175809391853e-09
NRN1,7.015526,7.481368,2.290858872471688e-12,1.5153130541843626e-09
C2CD4B,7.005117,9.059672,2.467796139870168e-12,1.6142128750461865e-09
PIK3C2A,6.997831,7.719472,2.5995576683368026e-12,1.6817138454394238e-09
TSPAN7,6.950991,7.64839,3.6272842503931676e-12,2.3210676502244106e-09
SERPINH1,6.945787,12.614057,3.763566990576976e-12,2.38237837349749e-09
SOX18,6.943185,6.8869047,3.83357841907688e-12,2.400880441819744e-09
TCEAL9,6.929133,5.3085093,4.234282809390765e-12,2.6239181998824668e-09
HLA-E,6.863037,-20.156866,6.741178637598162e-12,4.133887358285456e-09
NTN4,6.8375354,8.337438,8.056718550947485e-12,4.889680629837923e-09
IFITM3,6.8297286,-9.272033,8.507530690078562e-12,5.110595221682908e-09
PRCP,6.806309,17.376156,1.0013450432561832e-11,5.89491826964915e-09
ESAM,6.8011045,21.878988,1.0381998537750252e-11,6.0513688506669044e-09
IGFBP4,6.7854915,12.024107,1.1569201248329392e-11,6.677243896952464e-09
EDNRB,6.7698784,6.46439,1.2889081319519501e-11,7.366798226020515e-09
HYAL2,6.7605104,7.0734177,1.3750651783713034e-11,7.783662216415252e-09
NOSTRIN,6.7261615,13.563179,1.741974270470044e-11,9.76666907643538e-09
TFPI,6.723559,24.562347,1.7733847344546918e-11,9.848977294089406e-09
FCN2,6.711589,54.78573,1.9251629213985752e-11,1.0591994503059264e-08
IFI16,6.706905,14.013276,1.9879550752940932e-11,1.0836195859496598e-08
SMAD6,6.6304007,10.397137,3.347774171289385e-11,1.7916678678527823e-08
PHACTR2,6.624155,13.252888,3.492397711820854e-11,1.8522293089630058e-08
BEX3,6.596051,6.7920127,4.222525112219039e-11,2.2194647621101323e-08
CRIM1,6.59397,10.627323,4.282192356710976e-11,2.230908531323674e-08
ECSCR,6.559621,9.596653,5.394483131128048e-11,2.7857300169255105e-08
APOLD1,6.529435,9.247127,6.601818474944292e-11,3.3795569879997437e-08
PREX2,6.5273533,14.221211,6.69419742790377e-11,3.397305194661164e-08
BMPER,6.5169444,16.424328,7.17539079173296e-11,3.6103868026437554e-08
RHOJ,6.510179,13.378374,7.506135979879205e-11,3.744798518097362e-08
ADD3,6.5039334,14.722771,7.824643633105814e-11,3.851949810296676e-08
FZD4,6.503413,10.600606,7.851774710983542e-11,3.851949810296676e-08
LEPROT,6.484157,2.8389158,8.922932089479708e-11,4.341264562873309e-08
SLC9A3R2,6.3977637,3.006589,1.5766878705831188e-10,7.608165159117066e-08
SELENOW,6.3618536,2.0534978,1.99333382332157e-10,9.540452209669986e-08
MEF2C,6.358731,5.5156574,2.0342732929230491e-10,9.657876512449992e-08
VAMP5,6.329066,6.2550344,2.466497394605941e-10,1.1616216129636139e-07
SYNE2,6.3129325,1.7376939,2.737973186621611e-10,1.2792419166382084e-07
JAM2,6.307728,10.998188,2.831614729750036e-10,1.3067066263530966e-07
S1PR1,6.3072076,2.4054794,2.8411491111465324e-10,1.3067066263530966e-07
LIMCH1,6.291594,5.941985,3.142219112866078e-10,1.4229418398032768e-07
TIMP2,6.287431,8.684255,3.227629160588982e-10,1.450462051021934e-07
STAB1,6.2671337,65.097885,3.6775461782731376e-10,1.6401298751131788e-07
MAST4,6.265572,1.0962015,3.7145864114413784e-10,1.6441932484327363e-07
MYCT1,6.260888,8.385823,3.827905850620657e-10,1.6817075927316273e-07
RASGRP3,6.258286,4.1277823,3.8923121009737645e-10,1.6973363954394483e-07
PODXL,6.236948,8.322298,4.4618992421143493e-10,1.9314118263475865e-07
TIE1,6.234866,11.560501,4.521639723138598e-10,1.9429848941691188e-07
CLEC1B,6.2078037,16.158201,5.37302783557857e-10,2.2907293284915566e-07
EMCN,6.206763,7.3798747,5.408720514019472e-10,2.2907293284915566e-07
CLEC4G,6.20364,36.924694,5.517192431091995e-10,2.3199794172741843e-07
NRP1,6.193231,9.378215,5.894317746043408e-10,2.460982168153017e-07
LMO2,6.171893,3.6794934,6.747709570058995e-10,2.797448326685725e-07
BMPR2,6.1224513,5.198563,9.21465310307466e-10,3.7671293623472585e-07
NID1,6.112563,8.858119,9.804355628860783e-10,3.9805683853174777e-07
PIK3R3,6.065203,6.7648544,1.3178705852879099e-09,5.31390694218488e-07
OSMR,6.0626006,10.321163,1.33937778332728e-09,5.363889122753535e-07
SOX17,6.0573964,11.323589,1.383423436500206e-09,5.50284714234913e-07
HSPB1,6.0246086,-3.3910577,1.6951919124217146e-09,6.697714623105124e-07
ROBO4,6.0037913,10.81784,1.9276260497865108e-09,7.563542447886354e-07
NR2F1,6.0027504,13.66402,1.9400287236807193e-09,7.563542447886354e-07
LAPTM4B,5.9954643,3.7282028,2.029050774324231e-09,7.832247935977903e-07
HEG1,5.9949436,-5.479235,2.03555959606696e-09,7.832247935977903e-07
C1QTNF1,5.9808917,9.790163,2.219192210473825e-09,8.483366586402213e-07
CYYR1,5.9767284,16.059038,2.276634154567611e-09,8.646803398670661e-07
PECAM1,5.9736056,-1.9351133,2.3206634989928948e-09,8.757529499084085e-07
CD36,5.9475837,-1.318583,2.7212963998948494e-09,1.020399484470126e-06
RBMS3,5.944461,7.8867145,2.7736790504455414e-09,1.0334587702514494e-06
RFLNB,5.9356136,3.5412505,2.9274857377270514e-09,1.0839061973584373e-06
AFAP1L1,5.9189596,11.058205,3.2398470150892116e-09,1.192061211114387e-06
COX7A1,5.9085507,5.5755186,3.4513055388634387e-09,1.2619773731235443e-06
NFIB,5.8965807,8.667537,3.711115008984585e-09,1.348600867771127e-06
MYO10,5.8539047,3.0532863,4.8016422708625975e-09,1.7341882238385342e-06
SELENOM,5.827362,4.830945,5.631033076758527e-09,2.021334861151064e-06
UGCG,5.80082,4.5983276,6.599151749382416e-09,2.3544973544614716e-06
TFPI2,5.788329,11.0913515,7.108999472483293e-09,2.5211252948499484e-06
DLL4,5.74201,7.467683,9.355926777673232e-09,3.2784726750096614e-06
ST6GALNAC3,5.7342033,13.900491,9.797167131176916e-09,3.392701347131677e-06
RELL1,5.7321215,6.080355,9.918206587971495e-09,3.414531121835567e-06
LPAR6,5.73004,16.189713,1.0040699047071297e-08,3.436604377331903e-06
S100A13,5.6478105,3.166628,1.6250417331988175e-08,5.435579933716726e-06
ERG,5.6394835,24.104963,1.7056104343127496e-08,5.672841032089919e-06
CD93,5.6316767,5.7062664,1.784658367477353e-08,5.902406634460212e-06
GBP4,5.630636,4.428972,1.7954632186287873e-08,5.9049675799260734e-06
DAB2,5.6295953,1.2822988,1.8063315809053375e-08,5.907707787105401e-06
TMEM165,5.58796,5.3259735,2.2975263766344152e-08,7.472672806213703e-06
COL6A2,5.5541315,6.1306076,2.7899562915297292e-08,9.024435542986548e-06
NRP2,5.549968,6.432941,2.8572215345504625e-08,9.141556072770964e-06
SLC2A3,5.5416408,53.817883,2.9965048133401376e-08,9.535364235747777e-06
GJA4,5.5104146,8.898449,3.579898118953583e-08,1.1183738534877362e-05
TNFSF10,5.4984446,0.50682044,3.831564844369186e-08,1.1871801178316525e-05
BST2,5.489597,-2.441888,4.028521835263091e-08,1.2416705782300427e-05
FILIP1,5.480229,9.045102,4.247758396977321e-08,1.3024246709898693e-05
PXDN,5.4276648,22.845125,5.709622471269556e-08,1.7237203840186603e-05
VWF,5.396438,0.69377065,6.797682593887735e-08,2.031368397472949e-05
ADAMTS4,5.3943563,56.267445,6.876959865360166e-08,2.0446799357260248e-05
CCZ1,5.390193,8.705881,7.038210009861635e-08,2.082107654676153e-05
FAM241A,5.3751,-1.1697701,7.654013268276643e-08,2.2417500552410246e-05
TJP1,5.368855,2.9574764,7.923815372411567e-08,2.30854569499545e-05
SERPINB6,5.366773,1.1866766,8.015779065072033e-08,2.30854569499545e-05
SOCS2,5.352201,13.488965,8.689090222365425e-08,2.4711436782157132e-05
MID1,5.3006773,9.320542,1.1537387648097069e-07,3.234314337349878e-05
FKBP1A,5.2949524,-10.10987,1.1904739109678906e-07,3.3214786321649155e-05
PLPP1,5.282462,6.548017,1.2745935673079247e-07,3.5394020428027136e-05
CTTNBP2NL,5.2803802,3.3969595,1.2891614330905448e-07,3.563048524227247e-05
ITGB1,5.2793393,3.4741418,1.2965056417764558e-07,3.5666022024009326e-05
CEMIP2,5.2762165,-0.8044391,1.318781940598618e-07,3.611008969443751e-05
WWTR1,5.2481127,3.4077747,1.5366514205835684e-07,4.188086533784939e-05
PLK2,5.2278156,4.07967,1.7152433036257102e-07,4.6532890914491047e-05
SHE,5.1929464,2.3817403,2.0699192814414725e-07,5.5642076757287436e-05
VGLL4,5.1846194,2.355069,2.1645661881336e-07,5.792182340701138e-05
LIMA1,5.1601586,4.1828613,2.4674074718801845e-07,6.543075579711101e-05
DNAJB1,5.1585975,54.16886,2.488068463478377e-07,6.568277598429239e-05
ALPL,5.154954,-0.058198612,2.536929447555564e-07,6.667367704356966e-05
SOX7,5.1528726,6.093793,2.565264811435369e-07,6.711872864408897e-05
SPTBN1,5.1471477,-20.837538,2.6447723161652745e-07,6.889280807639367e-05
SLC38A2,5.124248,-20.902876,2.9872718383140474e-07,7.713188294804736e-05
C1orf21,5.124248,0.90600675,2.9872718383140474e-07,7.713188294804736e-05
IFITM1,5.1101966,-24.593456,3.2182411372938e-07,8.201638777163897e-05
S100A16,5.039937,9.191947,4.6568502814960015e-07,0.0001156745890597762
EXOC3L2,5.0097513,13.140158,5.450035058214288e-07,0.00013368481828211464
HSP90AB1,5.0050673,66.7019,5.584243505925226e-07,0.00013640847103477927
HOTAIRM1,5.002986,5.638532,5.644909294201866e-07,0.00013732058270647264
TEK,4.9884133,13.512457,6.087715278906019e-07,0.00014748304463752977
TUG1,4.986852,0.97681403,6.137097813025505e-07,0.00014807006075934895
TSPAN14,4.978525,2.8123448,6.407061420219815e-07,0.0001533267096781872
OLFM1,4.9728003,8.97499,6.599262223864183e-07,0.0001572868692789006
NOTCH1,4.966555,3.5324326,6.815271171512301e-07,0.00016113052765740128
EHD3,4.9634323,7.516238,6.925814828805087e-07,0.0001630890875887022
PRICKLE2,4.957187,6.327706,7.15210798451415e-07,0.00016774685141368449
NOVA1,4.952503,6.496525,7.326485688485759e-07,0.00017115484622268122
CCL14,4.9337673,7.208461,8.065850429080499e-07,0.0001876824564268652
TMEM204,4.9254403,6.2426915,8.417059562005506e-07,0.0001943185476138291
CLEC4M,4.902541,101.44336,9.460486897455825e-07,0.00021728278680795907
C7,4.9004593,8.815867,9.56129005998149e-07,0.00021732553893093063
GRASP,4.8957753,3.1796474,9.791891801371116e-07,0.00022171102705642983
LIMS2,4.8926525,5.8339305,9.948590766892476e-07,0.0002243959917421303
SMTN,4.8916116,5.917786,1.000135810341043e-06,0.00022472517234647786
EVA1B,4.8817234,3.290194,1.051626960276361e-06,0.00023539649867478847
ITM2B,4.8468537,-20.54374,1.2543470072664445e-06,0.0002797098799915742
CHST12,4.8328023,25.004683,1.3462461320002304e-06,0.00029906984826737193
ST6GAL1,4.8203115,2.0881116,1.4333421555517609e-06,0.0003172212507418502
MIDN,4.8187504,1.7325983,1.4446027949499679e-06,0.0003185159795457101
FCGR2B,4.8135457,12.694462,1.482755896951873e-06,0.0003257083569162566
GIMAP7,4.7693086,-2.9285634,1.8485942737905492e-06,0.00040157470442084736
NPY1R,4.7646246,8.423071,1.8920567318189268e-06,0.0004090593935818738
MAF,4.763063,12.533532,1.906761153172435e-06,0.0004096752886396396
RALB,4.7620225,0.14479868,1.916625029953717e-06,0.0004102971473213648
NOVA2,4.760461,7.28084,1.93151281821964e-06,0.00041198608553837037
SHANK3,4.7573385,4.741122,1.9616223879806985e-06,0.00041689786996542864
TACC1,4.708417,-2.0729697,2.4964796195383394e-06,0.0005267661476782153
HEBP1,4.702172,2.1370661,2.5740884465940143e-06,0.0005412020958963916
TMEM88,4.6875997,1.6682997,2.7642840636187134e-06,0.0005791224299830378
HSP90AA1,4.677711,196.08012,2.9009489541788315e-06,0.0006034588866873067
WARS,4.671986,14.661076,2.983009431535909e-06,0.0006183442437835174
CASKIN2,4.639199,5.4132137,3.497629067029692e-06,0.0007174404988712124
FAM43A,4.632433,9.188127,3.613935995505169e-06,0.0007347937466887204
AQP1,4.631392,6.8813434,3.6321552622119525e-06,0.0007347937466887204
PIK3C2B,4.6272283,1.4169217,3.7059168131694903e-06,0.0007471483657235887
MTRF1L,4.588716,6.918508,4.4598088000916725e-06,0.0008930236192564516
IL1R1,4.585073,8.095951,4.5382821446920935e-06,0.0009025968576284579
PLSCR4,4.5371923,6.896682,5.700809620849441e-06,0.0011066959106891744
PDIA3,4.5325084,-8.489532,5.828734869345347e-06,0.001125041382814297
DGKE,4.5299063,13.605728,5.900986957763456e-06,0.0011352650398808322
HDAC7,4.527304,6.293986,5.9740957720667195e-06,0.0011455863781810024
RBMS2,4.5194974,5.354589,6.198659661225924e-06,0.0011733604316925084
ODF2L,4.5194974,-7.3748026,6.198659661225924e-06,0.0011733604316925084
UACA,4.5174155,7.424176,6.259894161936902e-06,0.0011811537477987993
RASIP1,4.4861894,6.9979525,7.250832252408376e-06,0.001359415588214271
TXNIP,4.4768214,1.1956726,7.576257957098388e-06,0.0014159184315377209
MGP,4.4507995,11.679743,8.555122226525793e-06,0.0015640995201104766
YBX3,4.4507995,13.310157,8.555122226525793e-06,0.0015640995201104766
FUS,4.4341455,16.066994,9.243824960813111e-06,0.0016836416916025344
INMT,4.4263387,10.242085,9.584596724403336e-06,0.0017361391051249982
TPM4,4.411246,-1.3223234,1.0277746678646085e-05,0.0018503087063360703
MECOM,4.4039598,9.700832,1.0629262265804214e-05,0.001901959482030073
TMEM255B,4.390949,9.671591,1.1285708314903925e-05,0.0020133019651466487
FSCN1,4.38054,3.4472814,1.1838551883248884e-05,0.0020928995476482337
LAMB2,4.3706517,2.6894693,1.2387624634274863e-05,0.002163974665340538
SGCE,4.3706517,5.169954,1.2387624634274863e-05,0.002163974665340538
SEPT2,4.3633657,-0.25201628,1.2807665843385319e-05,0.0022307316218937684
GIMAP8,4.3560796,-0.993631,1.3241275550718033e-05,0.0022726352526844626
TCIM,4.3560796,3.5074015,1.3241275550718033e-05,0.0022726352526844626
BGN,4.3539977,17.787266,1.3367713929088837e-05,0.002286460123865508
DOCK6,4.348793,7.545418,1.368886829411925e-05,0.002329085770158382
ATP8B1,4.339946,13.296702,1.4251787515411872e-05,0.002416643745008866
LRRC32,4.336823,2.0857396,1.4455684439316182e-05,0.0024314461226929815
JUN,4.336823,-1.1102221,1.4455684439316182e-05,0.0024314461226929815
GNAS,4.329537,-1.7005738,1.4942317154213442e-05,0.0025061373529018383
