names,scores,logfoldchanges,pvals,pvals_adj
NEAT1,12.546959,435.13828,4.130697065358823e-36,2.481368737119122e-33
CYP3A5,12.516217,20.230328,6.086744425218602e-36,3.583266443126191e-33
MIR122HG,12.188174,8.356652,3.5938167574558376e-34,1.8558595834335542e-31
AASS,11.720042,10.191976,1.0062194025886114e-31,4.556625863876273e-29
ZKSCAN1,11.6811285,14.971817,1.591684112172903e-31,6.992719677882e-29
ECHDC2,11.614975,12.276079,3.4588946757918157e-31,1.4649289896680878e-28
MLXIPL,11.549989,7.203178,7.382983231702136e-31,3.0825264031936504e-28
DST,11.474107,9.818559,1.780053307342357e-30,7.177516315290723e-28
MALAT1,11.317674,-inf,1.0728066041271992e-29,4.101047063958975e-27
ERRFI1,11.31495,9.87292,1.1066534000358596e-29,4.2031410103297455e-27
PLIN5,11.178363,6.488135,5.20411863069851e-29,1.868088193836715e-26
CFHR3,10.942546,-1.1440594,7.214537615381743e-28,2.4837416925001357e-25
CYP4F3,10.9227,6.045459,8.978682619323217e-28,3.037787619537688e-25
ADGRA3,10.851487,6.983525,1.9620630130865027e-27,6.48913761687654e-25
PCK1,10.693887,-12.835278,1.0871744543910555e-26,3.478367398369644e-24
ACSM2B,10.527725,7.9461417,6.437144056814599e-26,1.9840558671448977e-23
SNRNP70,10.358061,3.9993513,3.846809830392716e-25,1.1323084735760958e-22
ADH1B,10.31798,27.2101,5.843977945404649e-25,1.6782194226632765e-22
ABCA6,10.298912,4.0842104,7.1262623582522445e-25,2.026681473576375e-22
ABCC2,10.279844,-3.0791252,8.68677467154256e-25,2.4351924995890975e-22
CPS1-IT1,10.261555,5.127078,1.050021519658207e-24,2.9157908897301245e-22
BHMT2,10.261555,-14.083065,1.050021519658207e-24,2.9157908897301245e-22
CFH,10.03391,-27.926195,1.0814776842438963e-23,2.641767272673783e-21
ABCB11,10.031574,3.8206284,1.1073628055587185e-23,2.693820180299246e-21
FTX,9.940906,-0.54562634,2.7630355453320184e-23,6.558867038455481e-21
TAT,9.843232,6.680365,7.331680236592772e-23,1.7059921562380098e-20
SORBS2,9.822997,39.141567,8.963820995365429e-23,2.0533079455142523e-20
PAH,9.769685,-16.54732,1.5192343583952074e-22,3.453178636244241e-20
CPS1,9.652944,8.328069,4.776443811149129e-22,1.0610914987258462e-19
CYP2C9,9.628039,3.5350757,6.088010376260323e-22,1.337317801680766e-19
LINC01554,9.602745,4.860646,7.784300496888864e-22,1.6974008215057232e-19
RORA,9.602356,3.9963403,7.8137527200280445e-22,1.6974008215057232e-19
ZC3H13,9.548266,27.976513,1.3188521712534115e-21,2.8233028116977575e-19
ACSM2A,9.433082,-19.264782,3.982155251331547e-21,8.254559142460851e-19
ZBTB20,9.421018,-36.985954,4.4673549522875315e-21,9.227831089163753e-19
ACACB,9.420629,3.699286,4.483943565182057e-21,9.229711807072296e-19
APOB,9.354475,-16.543444,8.401552646946105e-21,1.6938335764579356e-18
IGFBP1,9.204658,2.2879853,3.427623492765058e-20,6.530232848513882e-18
ADRA1A,9.204658,-14.531614,3.427623492765058e-20,6.530232848513882e-18
PRKAG2,9.199988,3.1189666,3.5799000966369213e-20,6.798345764161792e-18
FYTTD1P1,9.192205,5.1088552,3.8486913951516047e-20,7.238736818932108e-18
NKTR,9.186368,-15.014223,4.0632884448334885e-20,7.618018813609792e-18
MAT1A,9.17197,3.606771,4.6445218946033205e-20,8.652626706813212e-18
ZBTB16,9.11788,-6.679846,7.660823829177478e-20,1.3876698425343944e-17
SLC13A5,9.084025,37.61388,1.0463227891907629e-19,1.8779580060872016e-17
KNG1,9.026822,-16.577242,1.7672996503280388e-19,3.105699415367512e-17
