names,scores,logfoldchanges,pvals,pvals_adj
PLAUR,11.653957,14.654626,2.19E-31,1.29E-26
LYZ,11.5371275,22.755499,8.57E-31,2.52E-26
IL1B,10.70956,42.94244,9.18E-27,1.80E-22
S100A9,10.524066,55.96983,6.69E-26,9.11E-22
SRGN,10.510398,43.702015,7.74E-26,9.11E-22
SH3BGRL3,10.325879,-2.2748468,5.38E-25,5.28E-21
EREG,9.783713,21.588408,1.32E-22,7.79E-19
C5AR1,9.745638,15.818012,1.93E-22,1.03E-18
S100A11,9.732296,3.784803,2.20E-22,1.08E-18
S100A4,9.68283,-11.116268,3.57E-22,1.62E-18
PTGS2,9.44006,5.1814413,3.73E-21,1.15E-17
S100A8,9.346011,92.590195,9.10E-21,2.33E-17
THBS1,9.312491,-23.946665,1.25E-20,3.06E-17
FCER1G,9.217466,9.289009,3.04E-20,6.40E-17
CTSS,9.203147,10.7332945,3.48E-20,7.06E-17
VCAN,9.098684,6.375972,9.14E-20,1.68E-16
HBEGF,9.072325,4.900236,1.17E-19,2.08E-16
TIMP1,9.048894,5.4358315,1.44E-19,2.50E-16
CD44,9.004635,2.0332465,2.16E-19,3.27E-16
TYMP,8.987388,38.902927,2.53E-19,3.73E-16
S100A6,8.86405,-0.17329216,7.72E-19,1.01E-15
BCL2A1,8.815235,7.032688,1.19E-18,1.53E-15
AIF1,8.800265,8.729498,1.36E-18,1.71E-15
COTL1,8.784645,6.605442,1.57E-18,1.88E-15
FTH1,8.7683735,-39.346695,1.81E-18,2.05E-15
HLA-DRA,8.738109,10.390172,2.37E-18,2.63E-15
ACTB,8.73583,-687.4283,2.42E-18,2.64E-15
GPR183,8.718908,6.142385,2.81E-18,3.01E-15
CYBB,8.691247,3.844,3.58E-18,3.77E-15
ITGAX,8.665213,50.020725,4.51E-18,4.65E-15
BASP1,8.654147,7.683963,4.97E-18,5.04E-15
FOSL2,8.577672,-47.226868,9.68E-18,9.34E-15
IER3,8.566281,7.204871,1.07E-17,1.01E-14
SAT1,8.559773,27.851265,1.13E-17,1.06E-14
HIF1A,8.381112,4.244544,5.24E-17,4.68E-14
TYROBP,8.3733015,4.816171,5.60E-17,4.92E-14
TNFRSF1B,8.335552,15.57702,7.71E-17,6.68E-14
ITGB2,8.317328,3.9181545,9.00E-17,7.57E-14
SAMSN1,8.223279,13.2328615,1.98E-16,1.58E-13
PTPRE,8.220024,1.2015527,2.03E-16,1.60E-13
NLRP3,8.176417,3.124725,2.92E-16,2.24E-13
ASAH1,8.138667,5.2641144,4.00E-16,3.02E-13
RAB31,8.132158,3.0041146,4.217125491813141e-16,3.142559211430881e-13
VIM,8.111006,-29.537035,5.020250663314179e-16,3.687968206126656e-13
CXCL8,8.109704,16.727192,5.074323504268033e-16,3.687968206126656e-13
LITAF,8.0664215,8.763265,7.238838877526666e-16,5.013534643764645e-13
LAPTM5,8.021513,-28.297758,1.0445089677810967e-15,7.150028248055019e-13
NFKBIA,7.9805083,-98.89698,1.4573173304223128e-15,9.42772211450127e-13
MNDA,7.977905,8.544056,1.4883787022801375e-15,9.524005891655619e-13
FCN1,7.9525213,3.2219133,1.8275310033341634e-15,1.156846775981529e-12
NAMPT,7.8796253,10.143187,3.283643047877106e-15,1.9880020748051174e-12
MS4A7,7.8496857,-1.5117913,4.170809531747463e-15,2.4500415267763344e-12
ZEB2,7.827231,-7.0732355,4.987317135229775e-15,2.796222473818827e-12
THBD,7.8190956,12.122871,5.3204281625174996e-15,2.9548453389377847e-12
MXD1,7.7650743,7.1115804,8.159751097120834e-15,4.327608532319851e-12
OLR1,7.7191887,6.0584216,1.1707263454004091e-14,5.840733894383227e-12
G0S2,7.704219,98.806335,1.3164615533923227e-14,6.458340970683836e-12
LIMS1,7.6931543,3.823545,1.435513712957617e-14,6.926941990312698e-12
CXCL3,7.6615877,8.727511,1.836486904170191e-14,8.649118723879933e-12
PPIF,7.6593094,43.31826,1.8693541851307665e-14,8.734038164972082e-12
BTG1,7.6495466,14.85041,2.016891676662991e-14,9.276126016027366e-12
STXBP2,7.6222105,31.630556,2.4936788773860488e-14,1.1380067869125324e-11
OSM,7.5457344,11.10812,4.4974516442155696e-14,1.9758580469773925e-11
SERPINB9,7.4920387,-0.9400159,6.781191305245609e-14,2.913932351385467e-11
EMP3,7.4793468,-2.318214,7.469283612875884e-14,3.163429685539592e-11
CPVL,7.462099,2.7081041,8.515473517242406e-14,3.555361177021705e-11
SLC11A1,7.433787,29.737743,1.0553199594217304e-13,4.344523497283725e-11
DUSP1,7.353406,11.615925,1.93219291215128e-13,7.685688968807152e-11
CD300E,7.3462462,2.3055942,2.0385061757276557e-13,8.05415158154947e-11
FYB1,7.334531,5.6963396,2.2249956562958414e-13,8.732366285742413e-11
JUNB,7.3107743,-10.45271,2.656070264370291e-13,1.028703003049204e-10
SLC2A3,7.2873435,8.561616,3.1612609877255566e-13,1.2084638593987242e-10
TNFAIP3,7.260984,-4.7663345,3.8428513433293045e-13,1.440946869947746e-10
LUCAT1,7.2313695,5.5482545,4.781468798519097e-13,1.7310460463514357e-10
ATP1B3,7.2157493,-4.5301986,5.363789884708875e-13,1.9022066898362137e-10
AC020656.1,7.1965485,2.2559872,6.175573949722766e-13,2.1640240382153528e-10
CD74,7.1926436,12.09577,6.354869896456652e-13,2.2111728924024663e-10
CD53,7.190691,1.0574175,6.446424368031518e-13,2.219304108456231e-10
C1orf162,7.168887,1.1980301,7.560982875596759e-13,2.587878266781286e-10
LST1,7.157497,3.152654,8.216329639496625e-13,2.793082763647792e-10
SOD2,7.1116114,13.798619,1.1469567076669831e-12,3.793333785413219e-10
METRNL,7.106079,3.25688,1.1938584687506996e-12,3.9263937461091446e-10
LGALS1,7.1024995,-64.7044,1.225204197507321e-12,3.984959729682651e-10
TMSB4X,7.075489,-466.82593,1.489227711946896e-12,4.790756032913321e-10
ICAM1,7.069957,-1.2248896,1.5498215183484652e-12,4.958586564411639e-10
RNF149,7.045224,-1.6675265,1.8516343760538652e-12,5.892200849637353e-10
CHMP1B,7.013657,2.2699533,2.321676713110528e-12,7.308936262075763e-10
PHACTR1,6.993806,4.678402,2.675272462222472e-12,8.289120518475627e-10
SOCS3,6.9684224,3.4674356,3.2051424634129707e-12,9.827434209433416e-10
CEBPB,6.9645176,8.277877,3.295313208685828e-12,1.0051558994576927e-09
CYBA,6.955405,3.3424509,3.5154958829834062e-12,1.0613191929806828e-09
HLA-DPA1,6.8978043,3.7757285,5.2812398786310775e-12,1.5467989634577688e-09
SPI1,6.7429,1.8099991,1.552561495919425e-11,4.211949090542698e-09
SLA,6.7367167,-71.65716,1.6200553682770118e-11,4.3748926390122795e-09
ZFP36,6.641691,-56.17703,3.101038371516634e-11,8.042208322959659e-09
LCP2,6.636159,-5.521898,3.2196245297460727e-11,8.313127020445233e-09
FGL2,6.63323,1.8211086,3.284190598998969e-11,8.442807884850189e-09
CXCL2,6.580836,12.069931,4.678103061163467e-11,1.1922074771025684e-08
TNFSF13B,6.577256,2.8168633,4.7920837482207574e-11,1.2159912511110173e-08
CTSB,6.491994,-3.014095,8.470776973638672e-11,2.0189256697899134e-08
CTNNB1,6.4740953,-0.916154,9.538179576754824e-11,2.2641638374336955e-08
IL10,6.4666104,3.5272188,1.0022570833471214e-10,2.3601149798658014e-08
PLEK,6.4535933,4.510636,1.09228866566149e-10,2.5517076883925365e-08
ARHGDIB,6.4448066,-88.662926,1.1574801486145865e-10,2.6721904450564984e-08
IL10RA,6.443505,-9.883005,1.167456093381757e-10,2.6846929772415644e-08
SDCBP,6.442203,-28.13141,1.1775160645389279e-10,2.6972906894710773e-08
CD48,6.4151926,-15.159475,1.4064513354270506e-10,3.184530389099633e-08
HLA-DRB1,6.4077077,7.987073,1.477239574275133e-10,3.319278386930423e-08
PDE4B,6.3819985,-2.2496858,1.7479159115199544e-10,3.897720064817413e-08
NR4A3,6.37191,-23.694696,1.8668812090649467e-10,4.14048122744372e-08
CREM,6.368656,-85.99537,1.9069180216746453e-10,4.204504267265407e-08
CD55,6.3673544,-1.6399807,1.9231665590053352e-10,4.208803543815765e-08
HLA-DRB5,6.364751,8.404704,1.956070438232503e-10,4.249220173385515e-08
LGALS3,6.35271,1.679706,2.115544366277104e-10,4.5619815693308833e-08
KCTD12,6.328303,1.0540483,2.4787252675941696e-10,5.3062747819370465e-08
PFKFB3,6.292831,11.2221985,3.1172790748992375e-10,6.452613671839041e-08
KDM6B,6.283719,-44.980293,3.3056829024689874e-10,6.780681270674191e-08
NPC2,6.2615895,4.3790765,3.810726398635214e-10,7.768134459807201e-08
MAP3K8,6.2612643,-20.748209,3.818688689854062e-10,7.768134459807201e-08
SLC43A2,6.244342,1.8600792,4.255882021261001e-10,8.580266253138189e-08
ATP2B1,6.2261176,6.7294917,4.78134532914638e-10,9.541620322943979e-08
NR4A2,6.1896696,-49.24645,6.029040650428754e-10,1.175263652618347e-07
HLA-DQB1,6.1747,2.1141782,6.628923530651296e-10,1.277938933000393e-07
SLC7A7,6.1743746,1.5178758,6.64259068282861e-10,1.277938933000393e-07
H3F3A,6.1405296,0.89758885,8.224667133613755e-10,1.5669454827049893e-07
LCP1,6.0728407,-20.431679,1.2566724611309027e-09,2.2975250865458462e-07
CLEC7A,6.0676336,3.329782,1.2980858924713558e-09,2.365892151386648e-07
S100A10,6.0552673,-4.468557,1.4018466721308532e-09,2.531494281851022e-07
EVI2B,6.04225,1.6172417,1.5197959577105234e-09,2.7030328710096224e-07
MS4A6A,6.04225,-2.415087,1.5197959577105234e-09,2.7030328710096224e-07
TMSB10,6.0243516,-5.627828,1.697889935744291e-09,2.983724791560191e-07
RGS2,6.014914,2.3385832,1.7998215646452464e-09,3.144079985479693e-07
PTPRC,6.006453,-52.94071,1.896260358325407e-09,3.3027469613791924e-07
HLA-DPB1,6.005802,5.475448,1.9038838111855257e-09,3.30313808915968e-07
SLC16A3,6.000921,12.903874,1.962019318543347e-09,3.387216342599614e-07
VEGFA,5.979768,10.151245,2.234560924630641e-09,3.8019827061562386e-07
PLBD1,5.9677267,2.7366657,2.4058178019498694e-09,4.0581803438621434e-07
PSAP,5.8749795,12.2747555,4.22896030037892e-09,6.973638456115042e-07
C3AR1,5.8541517,1.6120632,4.794503550237426e-09,7.862184512603824e-07
GK,5.849596,7.1557703,4.927688314619892e-09,8.05155377932451e-07
ANXA5,5.837555,-2.9067965,5.297242177393996e-09,8.590871817718582e-07
MTND5P32,5.8281174,2.6433284,5.605610290415489e-09,9.041158295801641e-07
C9orf72,5.785486,0.54057944,7.230287919608305e-09,1.132040026136545e-06
FCGR3A,5.777676,-38.38002,7.57395090230499e-09,1.1827015639753175e-06
FPR1,5.710963,5.989392,1.1233875114013023e-08,1.7088843099791904e-06
CD93,5.6849284,1.5030185,1.3086738832346538e-08,1.975426448872412e-06
BNIP3L,5.6758165,-2.7482295,1.3802869003999181e-08,2.0676206062733633e-06
SERPINB1,5.6735387,2.3499749,1.3987766163283104e-08,2.084708339322725e-06
HCLS1,5.6735387,5.1173286,1.3987766163283104e-08,2.084708339322725e-06
MPEG1,5.6536875,1.0255929,1.5704182364038354e-08,2.2997642183356664e-06
SH2B3,5.6387177,-3.408372,1.713213088082731e-08,2.4902927035908737e-06
C15orf48,5.615612,2.3759484,1.9586770792524833e-08,2.8123736501364315e-06
CD163,5.614961,0.32239687,1.9660639633759984e-08,2.8161115699256697e-06
CFD,5.608778,1.7276744,2.037601871936558e-08,2.9114956844879897e-06
FTH1P10,5.593483,1.2535641,2.2255926238126578e-08,3.1647497044408496e-06
S100A12,5.5765605,12.089205,2.4532064842097658e-08,3.430410112242967e-06
LYN,5.536533,-0.53912026,3.085183518548265e-08,4.233677243285229e-06
GRN,5.517983,1.7336017,3.4291227429681976e-08,4.6838156816366075e-06
CD83,5.502037,-8.480191,3.7542788931661444e-08,5.104258624496326e-06
IFI30,5.494878,0.77429265,3.9098134755751145e-08,5.303472795094631e-06
ARPC3,5.4574533,-6.2637544,4.830122096853033e-08,6.477204734435946e-06
VSIR,5.452572,11.082257,4.96465083692246e-08,6.642477153855119e-06
GLIPR1,5.451921,1.0619208,4.982860135143416e-08,6.651722815326369e-06
AREG,5.380001,-16.925652,7.448540750597708e-08,9.595089583975648e-06
AP1S2,5.3695874,0.63705504,7.891702929141301e-08,1.012166778733221e-05
RASSF5,5.3637295,-17.88112,8.152092851282659e-08,1.0410275621583733e-05
PLSCR1,5.3494105,0.7658568,8.824110470130189e-08,1.117151362100138e-05
MAFB,5.316542,1.7192363,1.0575765538977932e-07,1.3134922305477442e-05
MCL1,5.3129625,0.64185345,1.0785720541912961e-07,1.3339398493748235e-05
ARPC2,5.251782,-31.50137,1.5063484399735444e-07,1.820918535138451e-05
ZNF331,5.251131,-6.24864,1.5116816087655098e-07,1.8236208259841304e-05
ATP2B1-AS1,5.2394156,3.0346954,1.6108599814079507e-07,1.931391590743097e-05
MS4A4A,5.2159843,2.670144,1.828434091298394e-07,2.174543736459322e-05
FCGR2A,5.211103,3.5101748,1.8772107308031412e-07,2.2280523331125187e-05
CXCR4,5.200364,-86.148476,1.9889867643453788e-07,2.3418330163402492e-05
TUBA1A,5.1990623,-11.024449,2.0029647425741832e-07,2.353583520865113e-05
NFKBIZ,5.196459,-3.7645373,2.0312060789085344e-07,2.3772783671042825e-05
PNRC1,5.18995,15.0343275,2.1035033686459745e-07,2.4570087958767565e-05
TSPO,5.1847434,-2.9598348,2.1631256744387513e-07,2.52164769216256e-05
GCA,5.149597,7.684427,2.6104683662061345e-07,3.0074025972319988e-05
TGFBI,5.1463428,5.4421835,2.6561407974888796e-07,3.054043139612702e-05
GLUL,5.1434135,-6.989303,2.697905133963458e-07,3.096017061138963e-05
RAB20,5.116729,2.1712773,3.1088052737016726e-07,3.5263076389752885e-05
FKBP1A,5.0819077,-7.3028884,3.7366319857526833e-07,4.134878289497377e-05
SH3BGRL,5.067263,0.25079054,4.0357595140395747e-07,4.440844160588968e-05
KLF4,5.0649853,2.3383582,4.084319650448096e-07,4.48589361607984e-05
ADGRE2,5.059778,1.2301846,4.197440496059152e-07,4.601551620167641e-05
ACTR2,5.0340695,-36.375446,4.801755830798397e-07,5.2058815056924786e-05
CD37,5.01194,-0.33109415,5.388393978964846e-07,5.746644085899647e-05
FGR,5.0064077,-6.5066886,5.545516597310973e-07,5.903518301694339e-05
LILRB2,4.996645,1.6319836,5.833629977181493e-07,6.1656336940157e-05
FLNA,4.951736,-4.0007815,7.35544306628716e-07,7.650440517885603e-05
PPT1,4.9273286,4.348188,8.336151073690363e-07,8.534768934054813e-05
ACTG1,4.922447,-112.18126,8.546866417298886e-07,8.720173760595935e-05
CSTA,4.891206,1.4907796,1.0022006535284254e-06,9.94933431251575e-05
IQGAP1,4.882745,-3.4174883,1.0461927891742379e-06,0.0001031647730296271
TREM1,4.8775377,6.205013,1.0741824425511058e-06,0.00010574769296485552
MARCKS,4.859639,5.7374306,1.1759986140581788e-06,0.0001146197074535911
LILRA5,4.8576865,1.7267724,1.1876516903316724e-06,0.00011518460462903716
C4orf48,4.8371844,0.8811513,1.3169112642215788e-06,0.0001262647656754468
GPCPD1,4.8280725,1.2318612,1.3786086947565218e-06,0.00013196535587043325
NCF2,4.8212385,2.2168036,1.4266963312657762e-06,0.0001361257909588594
SMIM25,4.81831,5.0676336,1.4477954486169857e-06,0.00013791540139171835
OTUD1,4.7349997,1.2884711,2.19055414990177e-06,0.00020149675438237065
CXCL16,4.722959,-0.8494275,2.3243793422354006e-06,0.00021247858987173609
ITGAM,4.7213316,3.4727192,2.3430550251823178e-06,0.00021385371989532254
UCP2,4.7083144,-55.740665,2.4977354001368385e-06,0.00022726689800008605
PLXDC2,4.702457,1.0331813,2.57049675270853e-06,0.00023316663148220516
ADA2,4.7014804,1.4446524,2.582819767059228e-06,0.00023356466925772158
DMXL2,4.692043,2.15821,2.7049024384783935e-06,0.00024348257882755812
CCRL2,4.6826057,2.3423326,2.8325124812337657e-06,0.00025303491619155054
FMNL1,4.674795,4.2708297,2.942470439458745e-06,0.00026127184731664603
HLA-B,4.674795,-93.057556,2.942470439458745e-06,0.00026127184731664603
RNASE6,4.660802,2.7693095,3.149799695443051e-06,0.00027634680785504085
HLA-DMA,4.654293,0.984165,3.2509395660565435e-06,0.0002822755342975645
CELF2,4.6503882,-15.779042,3.3131108417104175e-06,0.0002859865619523347
