ori_tissue,ori_cell_type,corrected_tissue,corrected_cell_type,corrected
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),,,False
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),,,False
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),,,False
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),,,False
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),,,False
lung,lyve1lomhciihi hims,,,False
lung,lyve1lomhciihi hims,,,False
lung,lyve1lomhciihi hims,,,False
lung,lyve1himhciilo hims,,,False
lung,lyve1himhciilo hims,,,False
lung,lyve1himhciilo hims,,,False
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),,,False
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),,,False
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),,,False
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),,,False
lung,lyve1+ cells,,,False
lung,lyve1+ cells,,,False
heart,cardiac muscle cell,heart,cardiac muscle cell,True
heart,cardiac muscle cell,heart,cardiac muscle cell,True
heart,cardiac muscle cell,heart,cardiac muscle cell,True
heart,cardiac muscle cell,heart,cardiac muscle cell,True
heart,cardiac muscle cell,heart,cardiac muscle cell,True
heart,cardiac muscle cell,heart,cardiac muscle cell,True
heart,cardiomyocyte (cm),,,False
heart,cardiomyocyte (cm),,,False
heart,cardiomyocyte (cm),,,False
heart,cardiomyocyte (cm),,,False
heart,cardiomyocyte (cm),,,False
heart,cardiac progenitor (cvp),,,False
heart,cardiac progenitor (cvp),,,False
heart,cardiac progenitor (cvp),,,False
heart,cardiac progenitor (cvp),,,False
heart,cardiac progenitor (cvp),,,False
heart,cardiac progenitor (cvp),,,False
heart,cardiac progenitor (cvp),,,False
heart,cardiac progenitor (cvp),,,False
esophagus,treg (t regulatory) cell,,,False
esophagus,effector th2 cell,,,False
esophagus,effector th2 cell,,,False
esophagus,effector th2 cell,,,False
esophagus,effector th2 cell,,,False
esophagus,effector th2 cell,,,False
eoe tissue,t lymphocyte,,,False
eoe tissue,cd3+ t cell,,,False
eoe tissue,cd3+ t cell,,,False
eoe tissue,cd3+ t cell,,,False
eoe tissue,tissue lymphocyte,,,False
eoe tissue,tissue lymphocyte,,,False
eoe tissue,th2 cell,,,False
eoe tissue,th2 cell,,,False
eoe tissue,th2 cell,,,False
eoe tissue,t lymphocyte,,,False
esophageal tissue,th1 cell,,,False
esophageal tissue,th2 cell,,,False
esophageal tissue,th2 cell,,,False
esophageal tissue,th2 cell,,,False
esophageal tissue,th1 cell,,,False
esophageal tissue,th2 cell,,,False
esophageal tissue,th2 cell,,,False
esophageal tissue,th2 cell,,,False
eoe tissue,t cells (il5 producers),,,False
eoe tissue,t cells (ffar3+),,,False
blood,cd4+ t cells,,,False
heart,valve progenitor cell (hpvc),,,False
heart,valve progenitor cell (hpvc),,,False
heart,valve progenitor cell (hpvc),,,False
heart,valve progenitor cell (hpvc),,,False
heart,valve progenitor cell (hpvc),,,False
heart,valve progenitor cell (hpvc),,,False
heart,valve progenitor cell (hpvc),,,False
heart,valve progenitor cell (hpvc),,,False
mitral valve,valvular interstitial cells (vics),,,False
pluripotent stem cells,hips cells,,,False
pluripotent stem cells,hips cells,,,False
pluripotent stem cells,hips cells,,,False
endoderm,differentiated cells from hips cells,,,False
endoderm,differentiated cells from hips cells,,,False
mesoderm,differentiated cells from hips cells,,,False
mesoderm,differentiated cells from hips cells,,,False
ectoderm,differentiated cells from hips cells,,,False
ectoderm,differentiated cells from hips cells,,,False
valve endothelial cells,hpvcs,,,False
valve endothelial cells,hpvcs,,,False
valve endothelial cells,hpvcs,,,False
valve endothelial cells,hpvcs,,,False
valve endothelial cells,hpvcs,,,False
valve endothelial cells,hpvcs,,,False
valve tissue,endothelial cell,,,False
valve tissue,endothelial cell,,,False
valve tissue,endothelial cell,,,False
valve tissue,endothelial cell,,,False
valve tissue,endothelial cell,,,False
valve tissue,endothelial cell,,,False
valve tissue,endothelial cell,,,False
valve tissue,endothelial cell,,,False
brain,microglia/macrophage,,,False
retina,rod photoreceptors,,,False
retina,rod photoreceptors,,,False
retina,rod photoreceptors,,,False
retina,cone photoreceptors,,,False
retina,cone photoreceptors,,,False
retina,cone photoreceptors,,,False
retina,müller glia,,,False
retina,retinal astrocytes,,,False
retina,microglia,,,False
retina,microglia,,,False
retina,microglia,,,False
retina,bipolar cells,,,False
retina,bipolar cells,,,False
retina,retinal ganglion cells,,,False
retina,retinal ganglion cells,,,False
retina,retinal ganglion cells,,,False
retina,amacrine cells,,,False
retina,amacrine cells,,,False
retina,amacrine cells,,,False
retina,horizontal cells,,,False
retina,horizontal cells,,,False
retina,off-bipolar cells,,,False
retina,on-bipolar cells (rod bipolar cells),,,False
retina,on-bipolar cells (diffuse bipolar subtype db4),,,False
retina,rod photoreceptors,,,False
retina,rod photoreceptors,,,False
retina,rod photoreceptors,,,False
retina,rod photoreceptors,,,False
retina,rod photoreceptors,,,False
retina,rod photoreceptors,,,False
retina,rod photoreceptors,,,False
retina,rod photoreceptor,,,False
retina,rod photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,cone photoreceptor,,,False
retina,s-cone photoreceptor,,,False
retina,m-cone photoreceptor,,,False
retina,l-cone photoreceptor,,,False
retina,s-cone photoreceptor,,,False
retina,l/m-cone photoreceptor,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,retinal astrocytes,,,False
retina,retinal astrocytes,,,False
retina,müller glia and retinal astrocytes,,,False
retina,müller glia and retinal astrocytes,,,False
retina,müller glia and retinal astrocytes,,,False
retina,cone photoreceptor (l/m-cones),,,False
retina,cone photoreceptor (s-cones),,,False
retina,rod photoreceptor (malat1-hi),,,False
retina,rod photoreceptor (malat1-lo),,,False
retinal organoid,retinal progenitor cell (rpc),,,False
retinal organoid,retinal progenitor cell (rpc),,,False
retinal organoid,retinal ganglion cell (rgc),,,False
