ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
heart muscle,cardiomyocyte,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: cardiomyocyte

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells'
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'

候选组织 2: muscle
  候选细胞 1: cell_ontology_class='erythrocyte', free_annotation='erythrocyte'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中的 ""heart muscle"" 和 ""cardiomyocyte"" 明确指向心脏相关的肌肉组织和细胞类型。在候选匹配中，""heart"" 作为组织类型比 ""muscle"" 更具体且准确地描述了原始数据的解剖学背景；同时，候选细胞类型中 ""cardiac muscle cell"" 是对 ""cardiomyocyte"" 的标准化表述，符合细胞本体分类的最佳实践。",found
heart muscle,cardiomyocyte,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: cardiomyocyte

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells'
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'

候选组织 2: muscle
  候选细胞 1: cell_ontology_class='erythrocyte', free_annotation='erythrocyte'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中明确标注为 ""heart muscle"" 和 ""cardiomyocyte""，这表明组织类型应与心脏相关，而细胞类型应为心肌细胞。在候选匹配中，""heart"" 作为组织类型比 ""muscle"" 更具体且准确；对于细胞类型，""cardiac muscle cell"" 是对 ""cardiomyocyte"" 的标准化描述，符合原始数据的语义。其他选项（如平滑肌细胞或肝细胞）与原始数据不符。",found
heart muscle,cardiomyocyte,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: cardiomyocyte

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells'
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'

候选组织 2: muscle
  候选细胞 1: cell_ontology_class='erythrocyte', free_annotation='erythrocyte'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中提到的组织类型为 ""heart muscle""，这明确指向心脏相关的肌肉组织。在候选匹配中，""heart"" 是最符合的组织类型，而 ""muscle"" 则过于宽泛，未能具体体现心脏的特异性。对于细胞类型，原始数据标注为 ""cardiomyocyte""，这是心脏肌肉细胞的标准术语。在候选细胞中，""cardiac muscle cell""（即 cardiomyocyte）是完全匹配的选项，而其他选项如 ""smooth muscle cell"" 或 ""hepatocyte"" 与心脏无关，因此不合适。",found
heart muscle,cardiomyocyte,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: cardiomyocyte

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells'
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'

候选组织 2: muscle
  候选细胞 1: cell_ontology_class='erythrocyte', free_annotation='erythrocyte'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中提到的组织是 ""heart muscle""，这明确指向心脏相关的肌肉组织。在候选匹配中，""heart"" 是更准确的组织描述，而 ""muscle"" 则过于宽泛，未具体限定为心肌。对于细胞类型，原始数据中的 ""cardiomyocyte"" 是指心肌细胞，与候选匹配中的 ""cardiac muscle cell""（心肌细胞）完全一致，因此这是最佳选择。其他候选细胞类型如 ""smooth muscle cell"" 和 ""hepatocyte"" 与心脏无关，而 ""erythrocyte"" 更是红细胞，与心肌细胞无关。",found
heart muscle,neuron,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: neuron

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells'
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell'

候选组织 2: skin
  候选细胞 1: cell_ontology_class='muscle cell', free_annotation='muscle cells'

候选组织 3: muscle
  候选细胞 1: cell_ontology_class='mast cell', free_annotation='mast cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中提到的组织是 ""heart muscle""，这明确指向心脏相关的肌肉组织，因此候选组织应为 ""heart""。原始细胞类型标注为 ""neuron""，但神经元（neuron）通常不被认为是心脏的主要细胞类型。根据候选匹配，""cardiac muscle cell"" 是最符合心脏肌肉组织的细胞类型，因为心脏主要由心肌细胞构成。",found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: spleen
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 2: skin
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 3: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t cell'

候选组织 4: lymph_node
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lymph_node,"regulatory t cell
```",原始数据中提供的组织类型为'esophagus'，但候选匹配中没有直接与'esophagus'相关的组织。根据候选匹配中的信息，'regulatory t cell'（调节性T细胞）通常在免疫相关组织中富集，例如脾脏（spleen）和淋巴结（lymph_node）。在这两个选项中，淋巴结是调节性T细胞更典型的驻留部位，因此选择'lymph_node'作为修正组织。对于细胞类型，原始标注'regulatory t(treg) cell'与候选匹配中的'cell_ontology_class='regulatory t cell''一致，因此无需进一步修改。,found
esophagus,t helper 2(th2) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: t helper 2(th2) cell

    候选匹配:
候选组织 1: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t-cells'
  候选细胞 3: cell_ontology_class='t cell', free_annotation='t cell'
  候选细胞 4: cell_ontology_class='t cell', free_annotation='t_cells'

候选组织 2: liver
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"t cell
```",原始数据中提供的组织类型为'esophagus'，而候选匹配中的组织类型为'fat'和'liver'，均与'esophagus'不一致。因此，无法从候选组织中选择合适的修正组织，需保留原始组织。对于细胞类型，原始数据标注为't helper 2(th2) cell'，但候选细胞类型均为更宽泛的't cell'，未具体区分Th2亚型。考虑到标准化需求及候选匹配的局限性，选择最接近的't cell'作为修正细胞类型。,found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: spleen
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 2: skin
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 3: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t cell'

候选组织 4: lymph_node
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lymph_node,"regulatory t cell
```","原始数据中组织类型为'esophagus'，但候选匹配中没有直接与'esophagus'相关的组织选项。根据候选匹配，'lymph_node'是最可能的组织来源，因为调节性T细胞（regulatory T cell, Treg）在淋巴结中高度富集且功能活跃。此外，候选细胞类型中明确标注了'cell_ontology_class=regulatory t cell'，与原始细胞类型一致。",found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: spleen
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 2: skin
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 3: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t cell'

候选组织 4: lymph_node
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lymph_node,"regulatory t cell
```",原始数据中组织类型为'esophagus'，但候选匹配中没有直接与'esophagus'相关的组织。根据候选匹配，'regulatory t cell'（调节性T细胞）通常主要分布在免疫相关组织中，例如'spleen'（脾脏）和'lymph_node'（淋巴结）。在这两个选项中，'lymph_node'是调节性T细胞更典型的分布位置，且其标注的细胞类型完全匹配。因此，选择'lymph_node'作为修正组织，'regulatory t cell'作为修正细胞。,found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: spleen
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 2: skin
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 3: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t cell'

候选组织 4: lymph_node
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lymph_node,"regulatory t cell
```","原始数据中的组织类型为食管（esophagus），而候选匹配中没有直接与食管相关的组织。然而，调节性T细胞（regulatory T cell, Treg）是一种免疫细胞，通常在免疫相关组织中富集，例如脾脏（spleen）和淋巴结（lymph node）。在这两个选项中，淋巴结是调节性T细胞更典型的功能场所，因此选择淋巴结作为修正组织。对于细胞类型，原始数据中的“regulatory t(treg) cell”与候选匹配中的“regulatory t cell”一致，因此无需进一步修改。",found
