ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
heart muscle,cardiomyocyte,,heart muscle,cardiomyocyte,候选匹配为空,unfound
heart muscle,cardiomyocyte,,heart muscle,cardiomyocyte,候选匹配为空,unfound
heart muscle,cardiomyocyte,,heart muscle,cardiomyocyte,候选匹配为空,unfound
heart muscle,cardiomyocyte,,heart muscle,cardiomyocyte,候选匹配为空,unfound
heart muscle,neuron,,heart muscle,neuron,候选匹配为空,unfound
esophagus,regulatory t(treg) cell,,esophagus,regulatory t(treg) cell,候选匹配为空,unfound
esophagus,t helper 2(th2) cell,,esophagus,t helper 2(th2) cell,候选匹配为空,unfound
esophagus,regulatory t(treg) cell,,esophagus,regulatory t(treg) cell,候选匹配为空,unfound
esophagus,regulatory t(treg) cell,,esophagus,regulatory t(treg) cell,候选匹配为空,unfound
esophagus,regulatory t(treg) cell,,esophagus,regulatory t(treg) cell,候选匹配为空,unfound
esophagus,effector th2-like cell,,esophagus,effector th2-like cell,候选匹配为空,unfound
esophagus,effector th2 cell,,esophagus,effector th2 cell,候选匹配为空,unfound
esophagus,regulatory t(treg) cell,,esophagus,regulatory t(treg) cell,候选匹配为空,unfound
esophagus,regulatory t(treg) cell,,esophagus,regulatory t(treg) cell,候选匹配为空,unfound
esophagus,t helper 2(th2) cell,,esophagus,t helper 2(th2) cell,候选匹配为空,unfound
esophagus,t helper 2(th2) cell,,esophagus,t helper 2(th2) cell,候选匹配为空,unfound
esophagus,regulatory t(treg) cell,,esophagus,regulatory t(treg) cell,候选匹配为空,unfound
esophagus,t helper 2(th2) cell,,esophagus,t helper 2(th2) cell,候选匹配为空,unfound
esophagus,regulatory t(treg) cell,,esophagus,regulatory t(treg) cell,候选匹配为空,unfound
heart,endothelial cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: endothelial cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.71)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.15)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.12)
  候选细胞 4: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.08)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.07)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac endothelial cell
```","原始细胞类型为 ""endothelial cell""，与候选匹配中的 ""cell_ontology_class='cardiac endothelial cell'"" 最为接近。虽然原始数据未明确指定 ""cardiac""（心脏相关的内皮细胞），但结合原始组织类型 ""heart"" 和相似度评分（0.71），可以合理推断该内皮细胞属于心脏特异性的内皮细胞类型。因此，选择 ""cardiac endothelial cell"" 作为最合适的修正结果。",found
heart,hematopoietic cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: hematopoietic cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"hematopoietic cell
```","原始细胞类型为 ""hematopoietic cell""，与候选匹配中的细胞类型（如 smooth muscle cell、cardiac endothelial cell 和 cardiac muscle cell）均无直接匹配或包含关系。此外，原始组织 ""heart"" 与候选组织一致，但候选细胞类型的相似度较低且语义不符。因此，没有合适的候选匹配可以修正原始数据。",found
heart,hematopoietic cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: hematopoietic cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"hematopoietic cell
```",原始细胞类型为 hematopoietic cell（造血细胞），而候选匹配中的细胞类型主要集中在 smooth muscle cell、cardiac endothelial cell 和 cardiac muscle cell，这些细胞类型与造血细胞无直接包含关系或发育关系。此外，候选匹配中没有与造血细胞相关的 free_annotation 或 cell_ontology_class。因此，原始数据无法匹配到合适的候选结果，保持原始数据不变。,found
heart,myofibroblast,,heart,myofibroblast,候选匹配为空,unfound
