ori_tissue,ori_cell_type,corrected_tissue,corrected_cell_type,corrected
heart muscle,cardiomyocyte,,,False
heart muscle,cardiomyocyte,,,False
heart muscle,cardiomyocyte,,,False
heart muscle,cardiomyocyte,,,False
heart muscle,neuron,,,False
esophagus,regulatory t(treg) cell,,,False
esophagus,t helper 2(th2) cell,,,False
esophagus,regulatory t(treg) cell,,,False
esophagus,regulatory t(treg) cell,,,False
esophagus,regulatory t(treg) cell,,,False
esophagus,effector th2-like cell,,,False
esophagus,effector th2 cell,,,False
esophagus,regulatory t(treg) cell,,,False
esophagus,regulatory t(treg) cell,,,False
esophagus,t helper 2(th2) cell,,,False
esophagus,t helper 2(th2) cell,,,False
esophagus,regulatory t(treg) cell,,,False
esophagus,t helper 2(th2) cell,,,False
esophagus,regulatory t(treg) cell,,,False
heart,endothelial cell,,,False
heart,hematopoietic cell,,,False
heart,hematopoietic cell,,,False
heart,myofibroblast,,,False
heart,endothelial cell,,,False
heart,hematopoietic cell,,,False
heart,hematopoietic cell,,,False
heart,endothelial cell,,,False
heart,endocardial cell,,,False
heart,endothelial cell,,,False
heart,hematopoietic cell,,,False
heart,hematopoietic cell,,,False
heart,endothelial cell,,,False
heart,hematopoietic cell,,,False
heart,hematopoietic cell,,,False
heart,endocardial cell,,,False
heart,endocardial cell,,,False
heart,endocardial cell,,,False
heart,endocardial cell,,,False
retina,cone photoreceptor cell,,,False
retina,horizontal cell,,,False
retina,microglial cell,,,False
retina,müller glial cell,,,False
retina,cone photoreceptor cell,,,False
retina,cone photoreceptor cell,,,False
retina,cone photoreceptor cell,,,False
retina,retinal ganglion cell,,,False
retina,cone photoreceptor cell,,,False
retina,cone photoreceptor cell,,,False
retina,cone photoreceptor cell,,,False
retina,retinal ganglion cell,,,False
retina,müller glial cell,,,False
retina,cone photoreceptor cell,,,False
retina,horizontal cell,,,False
retina,retinal astrocyte,,,False
retina,rod cell,,,False
retina,retinal ganglion cell,,,False
retina,rod cell,,,False
retina,amacrine cell,,,False
retina,cone photoreceptor cell,,,False
retina,bipolar cell,,,False
retina,rod cell,,,False
retina,bipolar cell,,,False
retina,microglial cell,,,False
retina,amacrine cell,,,False
