ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),,lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),候选匹配为空,unfound
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),,lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),候选匹配为空,unfound
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),,lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),候选匹配为空,unfound
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),,lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),候选匹配为空,unfound
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),,lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),候选匹配为空,unfound
lung,lyve1lomhciihi hims,,lung,lyve1lomhciihi hims,候选匹配为空,unfound
lung,lyve1lomhciihi hims,,lung,lyve1lomhciihi hims,候选匹配为空,unfound
lung,lyve1lomhciihi hims,,lung,lyve1lomhciihi hims,候选匹配为空,unfound
lung,lyve1himhciilo hims,,lung,lyve1himhciilo hims,候选匹配为空,unfound
lung,lyve1himhciilo hims,,lung,lyve1himhciilo hims,候选匹配为空,unfound
lung,lyve1himhciilo hims,,lung,lyve1himhciilo hims,候选匹配为空,unfound
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='macrophage', free_annotation='macrophages' (相似度: 0.46)
  候选细胞 2: cell_ontology_class='lung ciliated cell', free_annotation='lung ciliated cell' (相似度: 0.30)
  候选细胞 3: cell_ontology_class='lung microvascular endothelial cell', free_annotation='lung microvascular endothelial cell' (相似度: 0.29)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"macrophage
```","原始细胞类型描述为“cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)”，明确指出了是巨噬细胞（macrophages），并且位于肺组织中。候选匹配中的“cell_ontology_class='macrophage', free_annotation='macrophages'”与原始细胞类型的描述最为接近，且相似度最高（0.46）。因此，选择该候选匹配作为修正结果。",found
