ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung and omental and subcutaneous fat tissues
    - 原始细胞类型: mrtms (lyve1lomhciihicx3cr1hi)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells'
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'

候选组织 2: muscle
  候选细胞 1: cell_ontology_class='erythrocyte', free_annotation='erythrocyte'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ","lung, omental adipose tissue, subcutaneous adipose tissue","macrophage subset (LYVE1loMHCIIhiCX3CR1hi)
```",原始数据中提到的组织包括肺（lung）、网膜脂肪组织（omental fat tissue）和皮下脂肪组织（subcutaneous fat tissue），而候选匹配中的组织类型（heart 和 muscle）与原始描述不一致。因此，修正组织应直接基于原始组织描述进行标准化标注。对于细胞类型，原始数据提到的是 mrtms (lyve1lomhciihicx3cr1hi)，这是一种特定的巨噬细胞亚群（macrophage subset），与候选匹配中的细胞类型均不相符。因此，需要根据原始细胞描述重新定义。,found
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung and omental and subcutaneous fat tissues
    - 原始细胞类型: mrtms (lyve1lomhciihicx3cr1hi)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 2: cell_ontology_class='lung microvascular endothelial cell', free_annotation='lung microvascular endothelial cell'

候选组织 2: fat
  候选细胞 1: cell_ontology_class='leucocyte', free_annotation='leucocytes'
  候选细胞 2: cell_ontology_class='mast cell', free_annotation='mast_cells'
  候选细胞 3: cell_ontology_class='mast cell', free_annotation='mast cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",fat,"leucocyte
```",原始数据中提到的组织包括肺（lung）、网膜脂肪（omental fat）和皮下脂肪（subcutaneous fat），但候选匹配中没有同时涵盖这些组织的选项。因此，需要选择一个最能代表整体实验背景的主要组织类型。根据原始细胞类型的特征（LYVE1+ MHCIIhi CX3CR1hi），这些标记通常与免疫细胞相关，尤其是白细胞（leucocyte）。此外，脂肪组织中的免疫细胞分布较为常见，因此选择“fat”作为主要组织更为合理。对于细胞类型，候选匹配中的“leucocyte”最符合原始数据中描述的标记特征。,found
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung and omental and subcutaneous fat tissues
    - 原始细胞类型: mrtms (lyve1lomhciihicx3cr1hi)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 2: cell_ontology_class='lung microvascular endothelial cell', free_annotation='lung microvascular endothelial cell'

候选组织 2: fat
  候选细胞 1: cell_ontology_class='leucocyte', free_annotation='leucocytes'
  候选细胞 2: cell_ontology_class='mast cell', free_annotation='mast_cells'
  候选细胞 3: cell_ontology_class='mast cell', free_annotation='mast cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",fat,"leucocyte
```","原始数据中提到的组织包括肺（lung）以及网膜和皮下脂肪组织（omental and subcutaneous fat tissues）。根据候选匹配，""lung"" 和 ""fat"" 是两个独立的组织类型。由于原始细胞类型标注为 ""mrtms (lyve1lomhciihicx3cr1hi)""，这表明该细胞可能与免疫相关，并且在脂肪组织中更有可能存在。候选匹配中的 ""leucocyte""（白细胞）符合这一描述，因为白细胞是免疫系统的重要组成部分，且可能存在于脂肪组织中。因此，最合适的修正是将组织标注为 ""fat""，并将细胞类型标注为 ""leucocyte""。",found
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung and omental and subcutaneous fat tissues
    - 原始细胞类型: mrtms (lyve1lomhciihicx3cr1hi)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 2: cell_ontology_class='lung microvascular endothelial cell', free_annotation='lung microvascular endothelial cell'

候选组织 2: fat
  候选细胞 1: cell_ontology_class='leucocyte', free_annotation='leucocytes'
  候选细胞 2: cell_ontology_class='mast cell', free_annotation='mast_cells'
  候选细胞 3: cell_ontology_class='mast cell', free_annotation='mast cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",fat,"leucocyte
```",原始数据中提到的组织包括肺（lung）、网膜脂肪（omental fat）和皮下脂肪（subcutaneous fat），而细胞类型标注为“mrtms (lyve1lomhciihicx3cr1hi)”，这是一种特定的免疫细胞亚群，通常与单核吞噬细胞系统相关。根据候选匹配，候选组织“fat”更符合原始数据中的脂肪组织描述，且候选细胞中的“leucocyte”（白细胞）最接近原始细胞类型的免疫细胞特性。因此，选择“fat”作为修正组织，“leucocyte”作为修正细胞。,found
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung and omental and subcutaneous fat tissues
    - 原始细胞类型: mrtms (lyve1himhciilo)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 2: cell_ontology_class='myofibroblast cell', free_annotation='myofibroblast cell'

候选组织 2: fat
  候选细胞 1: cell_ontology_class='mast cell', free_annotation='mast_cells'
  候选细胞 2: cell_ontology_class='mast cell', free_annotation='mast cells'
  候选细胞 3: cell_ontology_class='leucocyte', free_annotation='leucocytes'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",fat,"leucocyte
```","原始数据中提到的组织类型包括肺（lung）、网膜脂肪（omental fat）和皮下脂肪（subcutaneous fat）。根据候选匹配，""fat"" 是一个合适的概括性术语，涵盖网膜脂肪和皮下脂肪。原始细胞类型标注为 ""mrtms (lyve1himhciilo)""，这可能指的是一种特定免疫细胞亚群，与候选匹配中的 ""leucocyte""（白细胞）最为接近，因为白细胞通常表达 Lyve1 和 MHC II 类分子，并且是免疫相关研究的重点对象。",found
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung and omental and subcutaneous fat tissues
    - 原始细胞类型: mrtms (lyve1himhciilo)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 2: cell_ontology_class='myofibroblast cell', free_annotation='myofibroblast cell'

候选组织 2: fat
  候选细胞 1: cell_ontology_class='mast cell', free_annotation='mast_cells'
  候选细胞 2: cell_ontology_class='mast cell', free_annotation='mast cells'
  候选细胞 3: cell_ontology_class='leucocyte', free_annotation='leucocytes'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",fat,"mast cell
```",原始数据中提到的组织包括肺（lung）、网膜脂肪（omental fat）和皮下脂肪（subcutaneous fat），但候选匹配仅提供“lung”和“fat”两个选项。由于原始细胞类型标注为“mrtms (lyve1himhciilo)”，这可能指的是一类免疫细胞，与脂肪组织中的肥大细胞（mast cell）或白细胞（leucocyte）更相关，而与肺部的呼吸道黏液细胞或肌成纤维细胞无关。因此，选择“fat”作为修正组织更为合理。在候选细胞中，“mast cell”和“leucocyte”均是免疫相关细胞，符合原始描述中“lyve1himhciilo”的特征，其中“mast cell”更具体且重复出现，因此选择其作为修正细胞类型。,found
lung,lyve1lomhciihi hims,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: lyve1lomhciihi hims

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic cells'
  候选细胞 2: cell_ontology_class='type i pneumocyte', free_annotation='type i pneumocyte'
  候选细胞 3: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic endothelium'
  候选细胞 4: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic endothelial cell'
  候选细胞 5: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"endothelial cell of lymphatic vessel
```","原始细胞类型 ""lyve1lomhciihi hims"" 表达了与淋巴管内皮细胞相关的标记基因 LYVE1，并且可能涉及抗原呈递功能（MHC-II）。结合候选匹配，多个选项指向淋巴管内皮细胞（endothelial cell of lymphatic vessel），尤其是候选细胞 1 和候选细胞 4 的描述最为贴合。因此，最合适的修正是将细胞类型标注为淋巴管内皮细胞。组织类型保持不变为 lung。",found
lung,lyve1lomhciihi hims,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: lyve1lomhciihi hims

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic cells'
  候选细胞 2: cell_ontology_class='type i pneumocyte', free_annotation='type i pneumocyte'
  候选细胞 3: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic endothelium'
  候选细胞 4: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic endothelial cell'
  候选细胞 5: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"endothelial cell of lymphatic vessel
```","原始细胞类型 ""lyve1lomhciihi hims"" 可能是一个非标准的标注，可能指代淋巴管内皮细胞（lymphatic endothelial cells），因为 LYVE1 是淋巴管内皮细胞的标志性基因。在候选匹配中，多个选项指向 ""endothelial cell of lymphatic vessel""，并且其自由注释包括 ""lymphatic cells"" 和 ""lymphatic endothelial cell"" 等描述，与原始数据最为接近。因此选择候选细胞 4 作为最合适的修正结果。组织类型保持不变为 ""lung""。",found
lung,lyve1lomhciihi hims,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: lyve1lomhciihi hims

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic cells'
  候选细胞 2: cell_ontology_class='type i pneumocyte', free_annotation='type i pneumocyte'
  候选细胞 3: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic endothelium'
  候选细胞 4: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic endothelial cell'
  候选细胞 5: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"endothelial cell of lymphatic vessel
```","原始细胞类型 ""lyve1lomhciihi hims"" 提供的信息有限，但其中 ""lyve1"" 是淋巴管内皮细胞的标志性基因，表明该细胞可能与淋巴系统相关。结合候选匹配中的信息，多个候选细胞类型（如 ""endothelial cell of lymphatic vessel"" 和其相关的自由注释）明确指向淋巴管内皮细胞。此外，原始组织 ""lung"" 与候选组织一致，无需修改。",found
lung,lyve1himhciilo hims,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: lyve1himhciilo hims

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='type i pneumocyte', free_annotation='type i pneumocyte'
  候选细胞 2: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic cells'
  候选细胞 3: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 4: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic endothelium'
  候选细胞 5: cell_ontology_class='lung ciliated cell', free_annotation='lung ciliated cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"endothelial cell of lymphatic vessel
```","原始细胞类型 ""lyve1himhciilo hims"" 看起来是一个非标准的、可能是拼写错误或格式不规范的标注。通过分析候选匹配，候选细胞 2 和候选细胞 4 都提到了与淋巴相关的内皮细胞（endothelial cell of lymphatic vessel），而 LYVE1 是淋巴内皮细胞的标志性基因。因此，原始数据很可能指的是淋巴管内皮细胞。此外，原始组织 ""lung"" 与所有候选组织一致，无需修正。",found
