marker,in_mygene
CCR2-,FALSE
CCR2+,FALSE
CCR2+Ly6Chigh,FALSE
CCR2+MHC-IIhigh,FALSE
Ly6Chigh,FALSE
CD64+Ly6ClowCCR2-tdTomato+,FALSE
CD64+Ly6ClowCCR2+tdTomato+,FALSE
CD64+Ly6ClowCCR2+tdTomato-,FALSE
CD64intLy6ChighCCR2+tdTomato-,FALSE
Ccl9,FALSE
Il1¦Â,FALSE
Hif1¦Á,FALSE
Type I IFN stimulated genes,FALSE
Cyr61,FALSE
CD169,FALSE
Ly6C2,FALSE
Hp (haptoglobin),FALSE
Plac8 (placenta-specific 8),FALSE
Thbs (thrombospondin),FALSE
Tnip3 (TNFAIP3-interacting protein 3),FALSE
Itgb7 (integrin subunit ¦Â7),FALSE
CD64,FALSE
tdTomato,FALSE
Ly6C,FALSE
CD45,FALSE
CD64,FALSE
CD45.1,FALSE
MHC-II,FALSE
MHC-IIlo,FALSE
CCR2-,FALSE
ICAM-1,FALSE
VCAM-1,FALSE
MHC II,FALSE
CD31,FALSE
VE-cadherin,FALSE
MHCII,FALSE
MHCII,FALSE
MHCII,FALSE
MHCII,FALSE
Lyve1loMHCIIhiCX3CR1hi,FALSE
Lyve1hiMHCIIloCX3CR1lo,FALSE
Lyve1loMHCIIhiCX3CR1hi,FALSE
Lyve1hiMHCIIloCX3CR1lo,FALSE
Lyve1loMHCIIhiCX3CR1hi,FALSE
Lyve1hiMHCIIloCX3CR1lo,FALSE
Lyve1loMHCIIhiCX3CR1hi,FALSE
Lyve1hiMHCIIloCX3CR1lo,FALSE
H2-Aa,FALSE
H2-Ab1,FALSE
H2-DMb1,FALSE
H2-Eb1,FALSE
C5AR1 (CD88),FALSE
CD169,FALSE
Mrc1 (CD206),FALSE
MHCII,FALSE
Cd45.1,FALSE
Cd45.2,FALSE
Ly6C,FALSE
CD64,FALSE
CX3CR1-,FALSE
CX3CR1+,FALSE
CX3CR1-,FALSE
CX3CR1+,FALSE
CX3CR1+,FALSE
H2-Eb1,FALSE
Fcna,FALSE
H2-DMa,FALSE
H2-Aa,FALSE
H2-Eb1,FALSE
H2-Ab1,FALSE
H2-K1,FALSE
CD11b,FALSE
CD169,FALSE
CD206,FALSE
HLA-DR,FALSE
Lyve1hiMHCIIlo,FALSE
Lyve1hiMHCIIlo,FALSE
Lyve1hiMHCIIlo,FALSE
Lyve1loMHCIIhi,FALSE
Lyve1loMHCIIhi,FALSE
Lyve1loMHCIIhi,FALSE
CD31,FALSE
CD31,FALSE
CD31,FALSE
MHCII,FALSE
Lyve1hiMHCIIlo,FALSE
Lyve1loMHCIIhi,FALSE
MHCII,FALSE
SiglecF-,FALSE
MerTK+,FALSE
CD64+,FALSE
F4/80,FALSE
CD64,FALSE
MHCII,FALSE
MHCII,FALSE
Cd45.1,FALSE
CD115,FALSE
CD11b,FALSE
Ly6C,FALSE
CD31,FALSE
CD31,FALSE
LYVE-1,FALSE
LYVE-1,FALSE
CD141,FALSE
CD103,FALSE
Sphingosine kinase,FALSE
Multiple genes (profiles and pathways),FALSE
LYVE-1,FALSE
Ephrin-B2,FALSE
Ephrin-B2,FALSE
a-actinin,FALSE
T (brachyury),FALSE
C-KIT,FALSE
SSEA-1,FALSE
Tra1-60,FALSE
a-actinin,FALSE
CRTH2,FALSE
IL-17RB,FALSE
IL-5,FALSE
IL-17RB,FALSE
CD25/IL-2R¦Á,FALSE
CD25/IL-2R¦Á,FALSE
ITGAE (CD103),FALSE
IL-25 receptor,FALSE
IL-10,FALSE
KLRB1 (CD161),FALSE
CD25 (IL2RA),FALSE
Th2 signature markers,FALSE
KLRB1 (CD161),FALSE
CD294/CRTH2/PTGDR2,FALSE
IL-10,FALSE
IL-2A (CD25),FALSE
IL-1R1,FALSE
IL-1R2,FALSE
IL-4,FALSE
IL-5,FALSE
IL-13,FALSE
IL-17RB,FALSE
NFAT1,FALSE
NF¦ÊB1,FALSE
PTGDR2 (CRTH2),FALSE
IL1RL1 (ST2L),FALSE
IL-4,FALSE
IL-5,FALSE
IL-13,FALSE
IL-2,FALSE
TNF-¦Á,FALSE
IFN-¦Ã,FALSE
IFN-¦Ã,FALSE
TNF-¦Á,FALSE
IL2RA/CD25,FALSE
IL2RA/CD25,FALSE
IL-4,FALSE
CD4+ FOXP3+ IL-10+ CTLA4+ IL-2A(CD25)+ IL-1R1/R2+,FALSE
CD4+ GATA3+ IL-4+ IL-5+ IL-13+ HPGDS+ CRTH2+ IL-17RB+ CD40LG (CD154)+ NFAT1+ NF¦Ê-B1+ AHR+ NR3C1+ PPARG+,FALSE
GS-lectin,FALSE
Aquaporin-4,FALSE
PKC-alpha,FALSE
Neurofilament-H,FALSE
Calbindin,FALSE
Neurofilament-H,FALSE
Calretinin,FALSE
Calretinin,FALSE
Vesicular glutamate transporter-1,FALSE
Postsynaptic density protein 95,FALSE
Mt1,FALSE
NFATc,FALSE
ADORA,FALSE
GALANIN,FALSE
TGF¦Â1,FALSE
TGF¦Â2,FALSE
THROMBOSPONDIN,FALSE
PDGFR¦Á,FALSE
TIE2,FALSE
CD31,FALSE
VE-cadherin,FALSE
NFATc,FALSE
SCL/TAL1,FALSE
LATEXIN,FALSE
FICOLIN3,FALSE
HOXP1,FALSE
CARBONIC-ANYDRASE,FALSE
CX37,FALSE
TGF¦Â1,FALSE
PDGFR¦Á,FALSE
TGLN,FALSE
TDGF1,FALSE
