original,corrected,candidates,reason
CD16,FCGR3A,"[{'symbol': 'FCGR3A', 'alias_symbol': 'CD16 CD16a FcgammaRIIIa FcGRIIIA', 'prev_symbol': 'FCGR3 FCG3', 'name': 'Fc gamma receptor IIIa', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FCGR3B', 'alias_symbol': 'CD16 CD16b FcgammaRIIIb FcRIIIb', 'prev_symbol': 'FCGR3 FCG3', 'name': 'Fc gamma receptor IIIb', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-CO1', 'alias_symbol': 'COX1 COI', 'prev_symbol': 'MTCO1', 'name': 'mitochondrially encoded cytochrome c oxidase I', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-CO2', 'alias_symbol': 'COX2 CO2', 'prev_symbol': 'MTCO2', 'name': 'mitochondrially encoded cytochrome c oxidase II', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND6', 'alias_symbol': 'NAD6 ND6', 'prev_symbol': 'MTND6', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6', 'alias_name': '', 'prev_name': ''}]","原始标记""CD16""在候选信息列表中有两个匹配项，分别是""FCGR3A""和""FCGR3B""。这两个基因符号都在其'alias_symbol'字段中包含了""CD16""。根据常用的基因命名规范以及""CD16""的广泛使用情况，这两个基因符号都可以作为标准化结果。然而，""FCGR3A""通常被认为是更常见的与""CD16""相关联的基因符号，因此选择""FCGR3A""作为修正结果。"
CD172A,SIRPA,"[{'symbol': 'SIRPA', 'alias_symbol': 'SHPS1 SIRP MYD-1 BIT P84 SHPS-1 SIRPalpha CD172a SIRPalpha2 MFR SIRP-ALPHA-1', 'prev_symbol': 'PTPNS1', 'name': 'signal regulatory protein alpha', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP1', 'alias_symbol': '', 'prev_symbol': 'MTHSP1', 'name': 'mitochondrially encoded major H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","在候选信息中，第一个条目{'symbol': 'SIRPA', ...}的'alias_symbol'字段包含'CD172a'，这与原始标记""CD172A""非常匹配（仅大小写不同）。因此，选择该条目的'symbol'作为标准化结果。"
MP3,MP3,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","原始标记""MP3""与候选信息中的任何条目均无明显匹配。候选信息中未出现与""MP3""相关的符号、别名或名称，因此无法找到合适的标准化结果。"
HLA/FCER1A,FCER1A,"[{'symbol': 'HLA-DOA', 'alias_symbol': 'HLA-D0-alpha', 'prev_symbol': 'HLA-DZA HLA-DNA', 'name': 'major histocompatibility complex, class II, DO alpha', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FCER1A', 'alias_symbol': 'FcepsilonRIalpha FCERIA', 'prev_symbol': 'FCE1A', 'name': 'Fc epsilon receptor Ia', 'alias_name': '', 'prev_name': ''}, {'symbol': 'HLA-F-AS1', 'alias_symbol': '', 'prev_symbol': '', 'name': 'HLA-F antisense RNA 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'HLA-DRB9', 'alias_symbol': 'D6S206 D6S206E', 'prev_symbol': 'HLA-DRB1L HLA-DR1BL', 'name': 'major histocompatibility complex, class II, DR beta 9 (pseudogene)', 'alias_name': '', 'prev_name': ''}, {'symbol': 'HLA-J', 'alias_symbol': 'CDA12 HLA-59', 'prev_symbol': 'HLA-CDA12 D6S203', 'name': 'major histocompatibility complex, class I, J (pseudogene)', 'alias_name': '', 'prev_name': ''}]","原始标记""HLA/FCER1A""看起来像是两个基因符号的组合，其中""FCER1A""在候选信息中直接匹配到了一个条目，而""HLA""部分没有明确指向某个特定基因。因此，选择与""FCER1A""完全匹配的候选信息中的'symbol'作为标准化结果。"
CD68/CD163,CD68/CD163,"[{'symbol': 'CD163', 'alias_symbol': 'M130 MM130 SCARI1', 'prev_symbol': '', 'name': 'CD163 molecule', 'alias_name': '', 'prev_name': ''}, {'symbol': 'CD68', 'alias_symbol': 'SCARD1 GP110 DKFZp686M18236 LAMP4', 'prev_symbol': '', 'name': 'CD68 molecule', 'alias_name': '', 'prev_name': ''}, {'symbol': 'CD163L1', 'alias_symbol': 'M160 CD163B SCARI2 WC1', 'prev_symbol': '', 'name': 'CD163 molecule like 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-LIPCAR', 'alias_symbol': 'uc022bqs.1 LIPCAR', 'prev_symbol': '', 'name': 'mitochondrially encoded long non-coding cardiac associated RNA', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}]","原始标记""CD68/CD163""包含了两个基因符号的部分组合，分别是""CD68""和""CD163""。在候选信息列表中，可以找到与这两个部分完全匹配的条目，分别是{'symbol': 'CD68'}和{'symbol': 'CD163'}。由于原始标记是两个基因符号的组合形式，修正结果应选择与其最匹配的标准化基因符号组合。"
CD14hiCD16-,CD14hiCD16-,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","原始标记""CD14hiCD16-""描述的是一种免疫细胞亚群的表型，与候选信息中的基因符号及其别名均无明显关联。候选信息列表中的基因主要涉及线粒体编码和脂肪酸代谢相关基因，未找到与""CD14""或""CD16""相关的基因符号或名称。因此无法匹配到合适的标准化结果。"
CD14+CD16hi,CD14+CD16hi,"[{'symbol': 'CD14', 'alias_symbol': '', 'prev_symbol': '', 'name': 'CD14 molecule', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-OLR', 'alias_symbol': 'OriL', 'prev_symbol': 'MTOLR', 'name': 'mitochondrially encoded light strand origin of replication', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND6', 'alias_symbol': 'NAD6 ND6', 'prev_symbol': 'MTND6', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，没有找到与原始标记""CD14+CD16hi""完全匹配或相关的标准化基因符号。虽然有一个候选信息的symbol为""CD14""，但它仅表示CD14部分，无法覆盖整个原始标记的含义（包括CD16hi部分）。因此，无法选择任何一个候选信息作为标准化结果。"
CD14hiCD16+,CD14hiCD16+,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","原始标记""CD14hiCD16+""描述了一种免疫细胞亚群，通常与单核细胞或巨噬细胞的表型相关。然而，在候选信息列表中，所有条目均为线粒体基因（MT-ND4、MT-ND4L、MT-ND5等）或脂肪酸代谢相关基因（FADS2），与免疫细胞标记无直接关联。因此，无法找到与原始标记匹配的候选信息。"
PD-L1,CD274,"[{'symbol': 'CD274', 'alias_symbol': 'B7-H B7H1 PD-L1 PDL1 B7-H1', 'prev_symbol': 'PDCD1LG1', 'name': 'CD274 molecule', 'alias_name': '', 'prev_name': ''}, {'symbol': 'UCHL1', 'alias_symbol': 'PGP9.5 Uch-L1 UCHL-1', 'prev_symbol': 'PARK5', 'name': 'ubiquitin C-terminal hydrolase L1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'APOL1', 'alias_symbol': '', 'prev_symbol': 'APOL', 'name': 'apolipoprotein L1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'L1CAM', 'alias_symbol': 'CD171 NCAM-L1 CAML1', 'prev_symbol': 'HSAS1 SPG1 HSAS MASA MIC5 S10', 'name': 'L1 cell adhesion molecule', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ENPP2', 'alias_symbol': 'ATX PD-IALPHA', 'prev_symbol': 'PDNP2', 'name': 'ectonucleotide pyrophosphatase/phosphodiesterase 2', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个候选信息的alias_symbol字段包含""PD-L1""，这与原始标记完全匹配。因此，选择该候选信息的symbol字段值""CD274""作为标准化结果。"
TRL3,TRL3,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，未找到与原始标记""TRL3""相关的任何匹配信息。候选信息中的'symbol'、'alias_symbol'、'prev_symbol'等字段均未包含""TRL3""或其可能的变体。因此无法进行标准化，返回原始标记名称。"
