species,tissue_type,cell_name,marker,pmid
Human,Tumor,Mast cells,TNF,33545035
Human,Tumor,Mast cells,VEGFA,33545035
Human,Tumor,cDCs (conventional dendritic cells),LAMP3,33545035
Human,,Monocyte,CD14,33545035
Human,,Monocyte,CD16,33545035
Human,,cDC1,XCR1,33545035
Human,,cDC1,CADM1,33545035
Human,,cDC2,CD1A,33545035
Human,,cDC2,CD172A,33545035
Human,Hepatocellular carcinoma,cDCs,MP3,33545035
Human,Multiple tissues,Resident tissue macrophages (RTMs),LYVE1,33545035
Human,Colon cancer,TAMs,SPP1,33545035
Human,Hepatocellular carcinoma,TAMs,FOLR2,33545035
,Esophageal carcinoma,Mast cells,KIT,33545035
,Esophageal carcinoma,pDCs,LILRA4,33545035
,Esophageal carcinoma,pDCs,HLA/FCER1A,33545035
,Esophageal carcinoma,Monocytes/macrophages,CD68/CD163,33545035
,Esophageal carcinoma,cDC1s,CLEC9A,33545035
,Esophageal carcinoma,cDC2s,CD1C,33545035
,Esophageal carcinoma,Mature cDCs,LAMP3,33545035
,Esophageal carcinoma,Classical monocytes,CD14hiCD16-,33545035
,Esophageal carcinoma,Non-classical monocytes,CD14+CD16hi,33545035
,CRC and Myeloma,Intermediate monocytes,CD14hiCD16+,33545035
,Lung cancer,Alveolar macrophages,PPARG,33545035
,Lung cancer,Alveolar macrophages,MARCO,33545035
,Lung cancer,Alveolar macrophages,MRC1,33545035
,Lung cancer,Alveolar macrophages,MSR1,33545035
Human,Uterus,Mast cell,TNF,33545035
Human,Uterus,Mast cell,VEGFA,33545035
Human,Thyroid tumor,Mast cell,TNF,33545035
Human,Thyroid tumor,Mast cell,VEGFA,33545035
Human,Tumor tissue,Macrophage,IL1B,33545035
Human,Multiple cancer types,cDCs,LAMP3,33545035
,,LAMP3+ cDCs,LAMP3,33545035
,,LAMP3+ cDCs,CMTM6,33545035
,,LAMP3+ cDCs,PD-L1,33545035
,,LAMP3+ cDCs,AXL,33545035
,,LAMP3+ cDCs,TRL3,33545035
,,LAMP3+ cDCs,CD40,33545035
,,cDC1-derived LAMP3+ cDCs,IL12B,33545035
,,cDC1-derived LAMP3+ cDCs,BTLA,33545035
,,cDC2-derived LAMP3+ cDCs,CD1E,33545035
,,cDC2-derived LAMP3+ cDCs,CCL17,33545035
Human,,C02_cDC2_CD1A (Langerhans cell),CD1A,33545035
Human,,C02_cDC2_CD1A (Langerhans cell),CD207 (langerin),33545035
Human,,C02_cDC2_CD1A (Langerhans cell),not EPCAM,33545035
