pmid,species,tissue_type,cell_name,markers
33545035,Human,Colon cancer,TAMs,['SPP1']
33545035,Human,Hepatocellular carcinoma,TAMs,['FOLR2']
33545035,Human,Hepatocellular carcinoma,cDCs,['MP3']
33545035,Human,KIDNEY tumor,TAMs,"['FN1', 'CD52']"
33545035,Human,Lung cancer,Macrophage,"['PPARG', 'MARCO', 'MRC1', 'MSR1']"
33545035,Human,Multiple cancer types,LYVE1+ Macrophages,['LYVE1']
33545035,Human,Multiple cancer types,Macrophages,"['SPP1', 'C1QC']"
33545035,Human,Multiple cancer types,cDCs,['LAMP3']
33545035,Human,Multiple tissues,Resident tissue macrophages (RTMs),['LYVE1']
33545035,Human,Non-cancer tissues,NLRP3+ Macrophages,['NLRP3']
33545035,Human,SKCM tumor,Macrophages,['VCAN']
33545035,Human,Thyroid tumor,Mast cell,"['TNF', 'VEGFA']"
33545035,Human,Tumor,C1QC+ TAMs,['C1QC']
33545035,Human,Tumor,FN1+ TAMs,['FN1']
33545035,Human,Tumor,ISG15+ TAMs,['ISG15']
33545035,Human,Tumor,Macrophages,['SPP1']
33545035,Human,Tumor,Mast cells,"['TNF', 'VEGFA']"
33545035,Human,Tumor,Monocytes,"['S100A8', 'S100A9', 'CSF3R', 'IL1B', 'CCL4', 'CXCL2', 'CXCR4', 'AREG', 'EGR1', 'NR4A1', 'NR4A2', 'NLRP3', 'NFKB1', 'NFKBIA']"
33545035,Human,Tumor,RTMs,['LYVE1']
33545035,Human,Tumor,SPP1+ TAMs,['SPP1']
33545035,Human,Tumor,TAMs,"['C1QC', 'FOLR2']"
33545035,Human,Tumor,cDCs,['LAMP3']
33545035,Human,Tumor,cDCs (conventional dendritic cells),['LAMP3']
33545035,Human,Tumor or adjacent normal tissue,Monocytes,"['HLA-DQA1', 'HLA-DQB1', 'CD163', 'CD68']"
33545035,Human,Tumor tissue,Macrophage,['IL1B']
33545035,Human,Uterus,Mast cell,"['TNF', 'VEGFA']"
33545035,Human,,C02_cDC2_CD1A (Langerhans cell),"['CD1A', 'CD207 (langerin)', 'not EPCAM']"
33545035,Human,,C03_cDC2_IL1B,"['IL1B', 'TNF', 'CCL3', 'CCL4']"
33545035,Human,,C05_cDC2_ISG15,"['ISG15', 'IFI6', 'IFIT1']"
33545035,Human,,C06_cDC2_CXCL9,['CXCL9']
