original,corrected,candidates,reason
a-actinin,ACTN1,"[{'symbol': 'ACTN1', 'alias_symbol': '', 'prev_symbol': '', 'name': 'actinin alpha 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ACTN2', 'alias_symbol': '', 'prev_symbol': '', 'name': 'actinin alpha 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ACTN3', 'alias_symbol': '', 'prev_symbol': '', 'name': 'actinin alpha 3', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ACTN4P1', 'alias_symbol': '', 'prev_symbol': '', 'name': 'actinin alpha 4 pseudogene 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ACTN4P2', 'alias_symbol': '', 'prev_symbol': '', 'name': 'actinin alpha 4 pseudogene 2', 'alias_name': '', 'prev_name': ''}]","原始标记""a-actinin""与候选信息中的""actinin alpha""相关，但未明确指定具体的亚型（如alpha 1, alpha 2等）。在这种情况下，默认选择排序中最靠前的匹配项，即""ACTN1""，作为标准化结果。"
T brachyury ,TBXT,"[{'symbol': 'TBXT', 'alias_symbol': '', 'prev_symbol': 'T', 'name': 'T-box transcription factor T', 'alias_name': '', 'prev_name': ''}, {'symbol': 'TBX21', 'alias_symbol': 'TBLYM T-bet', 'prev_symbol': '', 'name': 'T-box transcription factor 21', 'alias_name': '', 'prev_name': ''}, {'symbol': 'PIGT', 'alias_symbol': 'PIG-T', 'prev_symbol': '', 'name': 'phosphatidylinositol glycan anchor biosynthesis class T', 'alias_name': '', 'prev_name': ''}, {'symbol': 'CENPT', 'alias_symbol': 'FLJ13111 CENP-T', 'prev_symbol': 'C16orf56', 'name': 'centromere protein T', 'alias_name': '', 'prev_name': ''}, {'symbol': 'HLA-T', 'alias_symbol': '', 'prev_symbol': 'HLA-16', 'name': 'major histocompatibility complex, class I, T (pseudogene)', 'alias_name': '', 'prev_name': ''}]","在候选信息中，第一个条目 {'symbol': 'TBXT', 'prev_symbol': 'T'} 的 'prev_symbol' 与原始标记 ""T brachyury"" 中的 ""T"" 完全匹配。此外，其名称 ""T-box transcription factor T"" 也与 ""brachyury"" 相关，因为 ""brachyury"" 是该基因的经典名称。因此，这是最符合原始标记的结果。"
C-KIT,KIT,"[{'symbol': 'KIT', 'alias_symbol': 'CD117 SCFR C-Kit', 'prev_symbol': 'PBT', 'name': 'KIT proto-oncogene, receptor tyrosine kinase', 'alias_name': '', 'prev_name': ''}, {'symbol': 'KITLG', 'alias_symbol': 'SCF SF Kitl KL-1 FPH2 SLF DFNA69', 'prev_symbol': 'MGF', 'name': 'KIT ligand', 'alias_name': '', 'prev_name': ''}, {'symbol': 'SFTPC', 'alias_symbol': 'SP-C PSP-C SMDP2 BRICD6', 'prev_symbol': 'SFTP2', 'name': 'surfactant protein C', 'alias_name': '', 'prev_name': ''}, {'symbol': 'CCL4L2', 'alias_symbol': '', 'prev_symbol': '', 'name': 'C-C motif chemokine ligand 4 like 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'CCR10', 'alias_symbol': '', 'prev_symbol': 'GPR2', 'name': 'C-C motif chemokine receptor 10', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个条目{'symbol': 'KIT', 'alias_symbol': 'CD117 SCFR C-Kit'}的'alias_symbol'字段包含了原始标记""C-KIT""（忽略大小写和符号格式），因此可以确定该条目与原始标记最匹配。根据规则，选择其'symbol'字段的值作为标准化结果。"
SSEA-1,SSEA-1,"[{'symbol': 'MIR1-1', 'alias_symbol': 'hsa-mir-1-1', 'prev_symbol': 'MIRN1-1', 'name': 'microRNA 1-1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IGHVII-1-1', 'alias_symbol': 'IGHV(II)-1-1', 'prev_symbol': '', 'name': 'immunoglobulin heavy variable (II)-1-1 (pseudogene)', 'alias_name': '', 'prev_name': ''}, {'symbol': 'KRTAP10-1', 'alias_symbol': 'KAP10.1 KAP18.1', 'prev_symbol': 'KRTAP18-1', 'name': 'keratin associated protein 10-1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'NAP1L1P1', 'alias_symbol': '', 'prev_symbol': '', 'name': 'nucleosome assembly protein 1 like 1 pseudogene 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MIR7-1', 'alias_symbol': 'hsa-mir-7-1', 'prev_symbol': 'MIRN7-1', 'name': 'microRNA 7-1', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，没有找到与原始标记""SSEA-1""相关的匹配信息。候选信息中的基因符号、别名、旧符号、名称等字段均未提及""SSEA-1""或其相关描述。因此，无法对""SSEA-1""进行标准化修正。"
Tra1-60,Tra1-60,"[{'symbol': 'IGHV3-60', 'alias_symbol': '', 'prev_symbol': '', 'name': 'immunoglobulin heavy variable 3-60 (pseudogene)', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IGLV4-60', 'alias_symbol': '', 'prev_symbol': '', 'name': 'immunoglobulin lambda variable 4-60', 'alias_name': '', 'prev_name': ''}, {'symbol': 'RNU6-60P', 'alias_symbol': '', 'prev_symbol': 'RNU6-60', 'name': 'RNA, U6 small nuclear 60, pseudogene', 'alias_name': '', 'prev_name': ''}, {'symbol': 'RNU7-60P', 'alias_symbol': 'U7.60', 'prev_symbol': '', 'name': 'RNA, U7 small nuclear 60 pseudogene', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IGHVII-60-1', 'alias_symbol': 'IGHV(II)-60-1', 'prev_symbol': '', 'name': 'immunoglobulin heavy variable (II)-60-1 (pseudogene)', 'alias_name': '', 'prev_name': ''}]","原始标记""Tra1-60""在候选信息列表中没有直接匹配的'symbol'、'alias_symbol'、'prev_symbol'、'name'或相关字段。所有候选信息都与免疫球蛋白或RNA相关基因有关，而""Tra1-60""可能是一个完全不同的基因标记，因此无法找到合适的标准化结果。"
CRTH2,PTGDR2,"[{'symbol': 'PTGDR2', 'alias_symbol': 'CRTH2 CD294 DP2', 'prev_symbol': 'GPR44', 'name': 'prostaglandin D2 receptor 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP1', 'alias_symbol': '', 'prev_symbol': 'MTHSP1', 'name': 'mitochondrially encoded major H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]",在候选信息列表中，第一个候选信息的'symbol'为'PTGDR2'，其'alias_symbol'包含原始标记'CRTH2'。这表明'CRTH2'是'PTGDR2'的一个别名，因此可以确定它们是同一个基因。其他候选信息与原始标记无直接关联。
IL-17RB,IL-17RB,"[{'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL37', 'alias_symbol': 'FIL1 FIL1Z FIL1(ZETA) IL-1H4 IL-1RP1 IL-1F7', 'prev_symbol': 'IL1F7', 'name': 'interleukin 37', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL25', 'alias_symbol': 'IL-25 IL-17E', 'prev_symbol': 'IL17E', 'name': 'interleukin 25', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL18', 'alias_symbol': 'IGIF IL1F4 IL-1g IL-18', 'prev_symbol': '', 'name': 'interleukin 18', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，没有找到与原始标记""IL-17RB""直接匹配的'symbol'或'alias_symbol'。因此无法进行标准化修正，返回原始标记名称。"
IL-5,IL5,"[{'symbol': 'IL5', 'alias_symbol': 'IL-5 EDF TRF', 'prev_symbol': '', 'name': 'interleukin 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL37', 'alias_symbol': 'FIL1 FIL1Z FIL1(ZETA) IL-1H4 IL-1RP1 IL-1F7', 'prev_symbol': 'IL1F7', 'name': 'interleukin 37', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL25', 'alias_symbol': 'IL-25 IL-17E', 'prev_symbol': 'IL17E', 'name': 'interleukin 25', 'alias_name': '', 'prev_name': ''}]",在候选信息列表中，第一个候选信息的'symbol'为'IL5'，其'alias_symbol'包含'IL-5'，这与原始标记完全匹配。因此，选择该候选信息的'symbol'作为标准化结果。
CD25/IL-2Ralpha,IL2RA,"[{'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL2RA', 'alias_symbol': 'CD25', 'prev_symbol': 'IL2R IDDM10', 'name': 'interleukin 2 receptor subunit alpha', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ISG20', 'alias_symbol': 'HEM45 CD25', 'prev_symbol': '', 'name': 'interferon stimulated exonuclease gene 20', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL37', 'alias_symbol': 'FIL1 FIL1Z FIL1(ZETA) IL-1H4 IL-1RP1 IL-1F7', 'prev_symbol': 'IL1F7', 'name': 'interleukin 37', 'alias_name': '', 'prev_name': ''}]","原始标记""CD25/IL-2Ralpha""中包含了""CD25""和""IL-2Ralpha""，这与候选信息列表中的{'symbol': 'IL2RA', 'alias_symbol': 'CD25', 'name': 'interleukin 2 receptor subunit alpha'}完全匹配。因为""IL2RA""是""IL-2Ralpha""的标准化符号，且""CD25""作为别名也出现在该条目中，因此这是最匹配的结果。"
ITGAE CD103 ,ITGAE,"[{'symbol': 'ITGAE', 'alias_symbol': 'CD103 HUMINAE', 'prev_symbol': '', 'name': 'integrin subunit alpha E', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ITGAEP1', 'alias_symbol': '', 'prev_symbol': '', 'name': 'ITGAE pseudogene 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP1', 'alias_symbol': '', 'prev_symbol': 'MTHSP1', 'name': 'mitochondrially encoded major H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个条目{'symbol': 'ITGAE', 'alias_symbol': 'CD103 HUMINAE'}明确包含了原始标记中的""ITGAE""和""CD103""，说明该条目与原始标记完全匹配。其他条目与原始标记无关，因此选择该条目的'symbol'作为标准化结果。"
